account,full_name,input_title,linkedin_url,fresh_title,fresh_company,latest_start,status,note
Carelon,Matt Monyhan,"Staff VP, Operations PI Solutions",https://www.linkedin.com/in/matt-monyhan-3b0615103/,"Staff VP, Operations PI Solutions",Carelon,2026-03,current,
Carelon,Andrea K. Knight,"Director, Client Execution, Carelon Payment Integrity",https://www.linkedin.com/in/andreaknight-gettingitdone/,"Director, Client Execution, Carelon Payment Integrity",Carelon,2024-03,current,
Carelon,John Kearney,"Director, Special Investigations Unit and Payment Integrity",,,,,not_found,"not resolved on carelon.com, carelonbehavioralhealth.com, carelonrx.com, beaconhealthoptions.com, elevancehealth.com, anthem.com, carelonhealth.com, carelonglobal.com, aimspecialtyhealth.com, LinkedIn company URLs, surname-only or spelling variants; candidates file holds Clay profile id 660408262 from the Sep 11 search (Carelon formerly Beacon Health Options, start 2022-09)"
Carelon,Mary Middleton Deadwiler,"Mary Deadwiler Director, Carelon Payment Integrity",https://www.linkedin.com/in/mary-middleton-deadwiler-79b45568/,"Mary Deadwiler Director, Carelon Payment Integrity",Carelon,2022-12,current,resolved on the full three-part name
Carelon,Ryan Wilkie,Vice President Operations,https://www.linkedin.com/in/ryan-wilkie-452453a/,Vice President Operations,Carelon,2023-03,current,
Carelon,Sandra T.,"Staff Vice President, PBM Operations",https://www.linkedin.com/in/sandra-t-02aaab5/,"Staff Vice President, PBM Operations",CarelonRx,2023-03,current,initial-only surname resolved on carelonrx.com
Carelon,Alyssa B.,Director of Workforce Management,https://www.linkedin.com/in/alyssa-frank-mba-571966a6/,Director of Workforce Management,CarelonRx,2023-03,current,"initial-only surname resolved on carelonrx.com; profile slug reads alyssa-frank-mba, surname likely Frank"
Carelon,Bruce Shiralipour,Director of Service Operations,https://www.linkedin.com/in/bruce-shiralipour-06bb1b93/,Director of Service Operations,CarelonRx,2026-06,current,
Carelon,Rejinath Radhakrishnan,Director of Operations,https://www.linkedin.com/in/rejinath-radhakrishnan-64304b345/,Director System Support,Elevance Health,2024-04,current,"LinkedIn shows Elevance Health, Director System Support (input said Carelon Director of Operations)"
Carelon,Tom Holiday,Director of Operations,https://www.linkedin.com/in/tom-holiday-8bba642aa/,Director of Operations,CarelonRx,,current,no start date on profile
Carelon,Selvi A.,Staff Vice President International Operations,https://www.linkedin.com/in/selviaram/,Staff Vice President International Operations,Carelon Global Solutions India,2023-01,current,initial-only surname resolved on carelonglobal.com; profile slug reads selviaram
Carelon,Amy Potter,International Business Operations Director,https://www.linkedin.com/in/amypotter3/,International Business Operations Director,Carelon,2025-11,current,
Carelon,"Shmeka Jones, MBA",Director of Operations,https://www.linkedin.com/in/shmekajones/,Director of Operations,Carelon Health,2025-01,current,searched as Shmeka Jones; found via carelonhealth.com
Carelon,Deb Tappen,Regional Operations Director,https://www.linkedin.com/in/deb-tappen-64575631/,Operations at Carelon,Elevance Health,2021-01,current,LinkedIn title is just Operations at Carelon (input said Regional Operations Director)
Carelon,justin santangelo,Regional Operations Director,https://www.linkedin.com/in/justin-santangelo-80616aba/,Regional Operations Director,Beacon Health Options,2017-03,current,"profile still lists Beacon Health Options (legacy brand, now Carelon Behavioral Health)"
Carelon,Daniel Guasp,Director Of Operations,https://www.linkedin.com/in/daniel-guasp-617a1381/,Director Of Operations,Beacon Health Options,2019-11,current,"profile still lists Beacon Health Options (legacy brand, now Carelon Behavioral Health)"
Carelon,Tiffany Bachman,Care Management Operations Director,,,,,not_found,"not resolved on carelon.com, carelonbehavioralhealth.com, carelonrx.com, beaconhealthoptions.com, elevancehealth.com, anthem.com, carelonhealth.com, carelonglobal.com, aimspecialtyhealth.com, LinkedIn company URLs, surname-only or spelling variants; candidates file holds Clay profile id 312510321 from the Sep 11 search (Carelon Health, start 2024-06)"
Carelon,Karen Swanker,Claims Director,https://www.linkedin.com/in/karen-swanker-716044139/,Claims Director,Beacon Health Options,2021-07,current,"profile still lists Beacon Health Options (legacy brand, now Carelon Behavioral Health)"
Carelon,jodi mccall,Director claims and provider QI,https://www.linkedin.com/in/jodi-mccall-a53659159/,Director,Beacon Health Options,2018-04,current,"LinkedIn title is just Director; profile still lists Beacon Health Options (legacy brand, now Carelon Behavioral Health)"
Carelon,Rhondale Henderson,Director of Claims & Customer Service,https://www.linkedin.com/in/rhondale-henderson-3a0144aa/,Director of Claims & Customer Service,Beacon Health Options,1998-12,dual,"two profiles, both start 1998-12; kept the one whose title matches the input; other: https://www.linkedin.com/in/rhondale-henderson-019830229/ (Manager, Carelon Behavioral Health, Waldorf MD)"
Carelon,Jacklyn Rooney,Director of claims disbursements,https://www.linkedin.com/in/jacklyn-rooney-124599164/,Director of claims disbursements,Beacon Health Options,1989-04,current,"profile still lists Beacon Health Options (legacy brand, now Carelon Behavioral Health)"
Carelon,Jodie Calvert,Director of Service Operations,,,,,not_found,"not resolved on carelon.com, carelonbehavioralhealth.com, carelonrx.com, beaconhealthoptions.com, elevancehealth.com, anthem.com, carelonhealth.com, carelonglobal.com, aimspecialtyhealth.com, LinkedIn company URLs, surname-only or spelling variants; candidates file holds Clay profile id 767374882 from the Sep 11 search (Carelon Rx, start 1997-06)"
