domain,company,account_type,industry,acd_latest,acd_last_seen,acd_fresh_12mo,wfm_latest,all_platforms,rep_confirmed,read_status,sfdc_owner_id
northwesternmutual.com,The Northwestern Mutual Life Insurance Company,Customer,Fin Services,Five9,2026-04-30,yes,Verint,"Five9 (2026-04-30), Verint Workforce Management (2025-09-08)",,read: Five9/Verint,005V5000002ZZTEIA4
travelers.com,The Travelers Companies,Customer,Insurance,Amazon Connect,2023-05-08,no,Aspect,"Alvaria (2024-11-14), Amazon Connect (2023-05-08)",,read: Amazon Connect/Aspect,005V500000GElNdIAL
vibrant.org,Vibrant Emotional Health,Customer,Healthcare Provider,Genesys,2026-03-30,yes,,"Genesys (2026-03-30), Genesys Cloud (2026-03-30)",,read: Genesys,005V500000GElNdIAL
virginmedia.com,Virgin Media O2 (UK),Customer,Telco/Cable,Amazon Connect,2023-02-17,no,,"Amazon Connect (2023-02-17), Avaya (2020-06-02)",,read: Amazon Connect,005V5000001gA7DIAU
vitality.co.uk,VitalityHealth,Customer,Healthcare Insurance,Avaya,2023-06-22,no,Aspect,"Alvaria (2025-01-14), Avaya (2023-06-22)",,read: Avaya/Aspect,005V5000001gA7DIAU
wellsfargo.com,Wells Fargo (Alvaria),Customer,Div Financial Services,Genesys,2026-02-26,yes,,"Amazon Connect (2026-02-26), Genesys Cloud (2026-02-26), TalkDesk (2026-02-26)",,read: Genesys,005V5000001gAGQIA2
aetnamedicare.com,Aetna Medicare,Customer,Healthcare Insurance,,,,,,,read: none found,005V5000001gA77IAE
btplc.com/Thegroup/Ourcompany/Groupbusinesses/btconsumer/index.htm,BT Group,Customer,Telco/Cable,,,,,,,read: none found,005V5000001gA7DIAU
caaclubgroup.ca,CAA Club Group,Customer,Home & Auto Insurance,,,,,,,read: none found,005V5000002ZZTEIA4
cvshealth.com,CVS Health,Customer,Healthcare Insurance,,,,,,,read: none found,005V5000001gAGQIA2
cvshealth.com/pharmacy-care/specialty-pharmacy,CVS Health PBM,Customer,Healthcare Insurance,,,,,,,read: none found,005V5000001gAGQIA2
comed.com,Commonwealth Edison Company,Customer,Utilities,,,,,,,read: none found,005V5000002ZZTEIA4
dominionenergy.com,Dominion Energy,Customer,Utilities,,,,,,,read: none found,005V5000006tDZ3IAM
gs.com,Goldman Sachs,Customer,Fin Services,,,,,,,read: none found,005V500000GElNdIAL
wageworks.com,HealthEquity,Customer,Healthcare Insurance,,,,,,,read: none found,005V5000002ZZTEIA4
jpmorganchase.com,JPMorgan Chase,Customer,Banking,,,,Calabrio,Calabrio (2026-05-24),,read: Calabrio,005V500000GElYvIAL
kp.org,Kaiser NCal,Customer,Healthcare Provider,,,,,,,read: none found,005V5000002ZZTEIA4
molinahealthcare.com,Molina Healthcare,Customer,Health Insurance,,,,,,,read: none found,005V5000001gAGTIA2
optumrx.com/public/landing,OptumRx,Customer,Healthcare Insurance,,,,,,,read: none found,005V5000001gA77IAE
peco.com,PECO,Customer,Utilities,,,,,,,read: none found,005V5000002ZZTEIA4
pgecorp.com,PG&E Corporation,Customer,Utilities,,,,,,,read: none found,005V5000002ZZTEIA4
pepco.com,Pepco Holdings(PHI),Customer,Utilities,,,,,,,read: none found,005V5000002ZZTEIA4
rbc.com,Royal Bank of Canada (RBC),Customer,Banking,,,,,,,read: none found,005V5000001gAGSIA2
royalcaribbean.com,Royal Caribbean Cruises,Customer,Hospitality,,,,,,,read: none found,005V5000001gAGQIA2
sanlam.com,Sanlam RSA,Customer,Banking,,,,,,,read: none found,005V5000002ZZTFIA4
sce.com,Southern California Edison Company,Customer,Utilities,,,,,,,read: none found,005V5000002ZZTEIA4
usbank.com,US Bancorp,Customer,Banking,,,,,,,read: none found,005V5000001gAGQIA2
unitedhealthgroup.com,UnitedHealth Group (UHG),Customer,Healthcare Insurance,,,,,,,read: none found,005V5000001gA77IAE
unitedhealthcare.com,UnitedHealthcare,Customer,Healthcare Insurance,,,,,,,read: none found,005V5000001gA77IAE
wayfair.com,Wayfair,Customer,Retail,,,,Calabrio,Calabrio (2022-04-11),,read: Calabrio,005V5000001gA77IAE
wellmedhealthcare.com,WellMed Medical,Customer,Healthcare_Provider,,,,,,,read: none found,005V5000001gA77IAE
