account,full_name,input_title,linkedin_url,fresh_title,fresh_company,latest_start,status,note
Centene,Lisa Cattani,"Vice President, Claims Operations",https://www.linkedin.com/in/lisa-cattani-00a3581/,"Vice President, Claims Operations",Centene Corporation,2024-10,current,
Centene,Aleksandra Phelps,"Senior Director, Operations Finance",https://www.linkedin.com/in/aleksandra-phelps-7a4454184/,"Senior Director, Operations Finance",Centene Corporation,2023-08,current,
Centene,Mary Beth Maginn,"Vice President, Enterprise Utilization Management Operations",https://www.linkedin.com/in/mary-beth-maginn-87418a3/,"Vice President, Enterprise Utilization Management Operations",Centene Corporation,2026-05,current,
Centene,Susan Smith,Chief Operating Officer,https://www.linkedin.com/in/susan-smith-65b83722a/,Chief Operating Officer,Centene Corporation,2024-01,dual,"2 profiles at Centene; picked most recent start (2024-01, COO); other is Business Systems Analyst since 2010-10 (susan-smith-19196563)"
Centene,Candice McGee,"Vice President, Business Operations ICS",https://www.linkedin.com/in/candice-mcgeeoperations/,"Vice President, Business Operations ICS",Centene Corporation,2024-08,current,
Centene,Michael B.,VP Individual Enrollment and Billing Operations,https://www.linkedin.com/in/michael-boone-5b001211/,"Sr Director, Business Operations",Centene Corporation,2018-04,current,title returned differs from input title; verify same person
Centene,Brian Horne,"Director, Payment Integrity",https://www.linkedin.com/in/brian-horne-6639214b/,"Director, Payment Integrity",Centene Corporation,2022-08,current,
Centene,Tarsha Fletcher,"Vice President, Claims Operations",https://www.linkedin.com/in/tarsha-fletcher-a072014/,"Vice President, Claims Operations",Centene Corporation,2023-04,current,
Centene,"Candice Kwiatkowski, CPHQ","Senior Director, Quality Program Operations and Accreditation",https://www.linkedin.com/in/candice-kwiatkowski-cphq-b0192039/,"Senior Director, Quality Program Operations and Accreditation",Centene Corporation,2025-07,current,
Centene,"Adam Ceteznik, A.S.A., M.A.A.A., M.Ed.",Chief Financial Officer at Coordinated Care,https://www.linkedin.com/in/adamceteznik/,Chief Financial Officer at Coordinated Care,Centene Corporation,2020-02,current,
Centene,Andre Cisne,"Chief Financial Officer, Silver Summit Healthplan",https://www.linkedin.com/in/andre-cisne-a7441665/,"Chief Financial Officer, Silver Summit Healthplan",Centene Corporation,2020-01,current,
Centene,Chris Perry,Plan Chief Financial Officer,https://www.linkedin.com/in/chris-perry-92221aa/,Plan Chief Financial Officer,Centene Corporation,2020-02,current,
Centene,Christian E. Miller,Chief Financial Officer (North Carolina - Carolina Complete Health),https://www.linkedin.com/in/christian-miller-b5254ab4/,Chief Financial Officer (North Carolina - Carolina Complete Health),Centene Corporation,2026-03,current,
Centene,Glenn Roberts,"VP, Health Plan CFO",https://www.linkedin.com/in/glenn-roberts-8454262/,"VP, Health Plan CFO",Centene Corporation,2021-02,current,
Centene,Jeremy Peercy,"CFO, Health Plan",https://www.linkedin.com/in/jeremy-peercy-fsa-maaa-b6279a11/,"CFO, Health Plan",Centene Corporation,2025-12,current,
Centene,"Jerry Flannery, CPA","VP, Finance and CFO - Delaware First Health",https://www.linkedin.com/in/jerry-flannery-cpa-86562211/,"VP, Finance and CFO - Delaware First Health",Centene Corporation,2024-01,current,
Centene,Jimmy C.,Chief Operating Officer at Coordinated Care,https://www.linkedin.com/in/jimmy-c-1bba73201/,Chief Operating Officer,Coordinated Care,2021-07,current,Coordinated Care is a Centene health plan
Centene,"Jonathan Sokeye, CPA/MBA",Health Plan CFO,https://www.linkedin.com/in/jonathan-sokeye-cpa-mba-b236284/,Health Plan CFO,Centene Corporation,2019,current,
Centene,Kia Biller,Plan CFO,https://www.linkedin.com/in/kia-biller-099a463/,Plan CFO,Centene Corporation,2021-05,current,
Centene,Marianna Spanos,"Executive in Residence & COO, Ambetter Health Solutions",https://www.linkedin.com/in/marianna-spanos-329071b/,"Executive in Residence & COO, Ambetter Health Solutions",Centene Corporation,2026-05,current,
Centene,Maurio Smith,"Chief Operating Officer, Centene Medicaid",https://www.linkedin.com/in/mauriosmith/,"Chief Operating Officer, Centene Medicaid",Centene Corporation,2026-03,current,
Fidelity Investments,Emily Hawthorne,Chief Operations Officer,https://www.linkedin.com/in/emily-hawthorne-65b981302/,Chief Operations Officer,Fidelity Investments,2018-07,current,
Fidelity Investments,Barbara March,EVP Operations,https://www.linkedin.com/in/barbara-march-2ab6889/,EVP Operations,Fidelity Investments,,current,no start date returned
Fidelity Investments,Camille Calafiore Zaslau,"Senior Vice President, Cash Management and Money Movement Operations",https://www.linkedin.com/in/camille-calafiore-zaslau-6421a36/,"Senior Vice President, Cash Management and Money Movement Operations",Fidelity Investments,2025-01,current,
Fidelity Investments,Christopher O'Brien,"SVP, Head of Capacity Planning & Operations",https://www.linkedin.com/in/christopher-o-brien-8193029/,"SVP, Head of Capacity Planning & Operations",Fidelity Investments,2022-03,current,
Fidelity Investments,Doug Coons,"Vice President, Workforce Optimization",https://www.linkedin.com/in/dcoons/,"Vice President, Workforce Optimization",Fidelity Investments,2013-07,current,
Fidelity Investments,Duc Nguyen,Head of Enterprise Workforce Planning - Corporate Services,https://www.linkedin.com/in/duc-nguyen-75a687/,Head of Enterprise Workforce Planning - Corporate Services,Fidelity Investments,2023-10,dual,2 profiles at Fidelity; picked most recent start (2023-10); other is Director of Risk Management since 2023-07 (duc-nguyen-5150a8210)
Fidelity Investments,Laurie Marshall,Head of Workforce Planning,https://www.linkedin.com/in/laurie-marshall-616a419/,Head of Workforce Planning,Fidelity Investments,2021-01,current,
Fidelity Investments,Michelle Finamore,"SVP, Head of Operational Excellence & Creative",https://www.linkedin.com/in/michelle-finamore-8200697/,"SVP, Head of Operational Excellence & Creative",Fidelity Investments,2024-08,current,
Fidelity Investments,Brett Southall,Senior Director/Squad Leader - Business Process Improvement/Robotics Process Automation,https://www.linkedin.com/in/brett-southall-8671b3a/,Vice President - Business Process Solutions and Automation,Fidelity Investments,2023-01,current,title changed from input
Fidelity Investments,Sudhakar Kanagarajan,"SVP, Head Of Brokerage Operations Technology",https://www.linkedin.com/in/sudhakar-kanagarajan-73872a7/,"SVP, Head Of Brokerage Operations Technology",Fidelity Investments,2025-06,current,
Fidelity Investments,Maharaj Thankam,"CIO, Head of Fidelity Fund & Investment Operations Technology",https://www.linkedin.com/in/maharaj-thankam-073225a/,"CIO, Head of Fidelity Fund & Investment Operations Technology",Fidelity Investments,2021-08,current,
Fidelity Investments,Chiranjivi Lal,Director - Business Systems Analysis / Product Management / Squad Lead,https://www.linkedin.com/in/chiranjivi-lal/,Director - Business Systems Analysis / Product Management / Squad Lead,Fidelity Investments,2021-12,current,
Fidelity Investments,Jaipal Chudasama,"Director, Defined Benefit Operations",https://www.linkedin.com/in/jaipalchudasama/,"Director, Defined Benefit Operations",Fidelity Investments,2020-11,current,
Fidelity Investments,Joyette Schneider,"Director, Defined Benefit Operations",https://www.linkedin.com/in/joyette-schneider-4b01378/,"Director, Defined Benefit Operations",Fidelity Investments,2022-04,current,
Fidelity Investments,Allyn Jones,"Head of Fidelity Health Implementation, Client Service and Operations",https://www.linkedin.com/in/allyn-jones-55905111/,"Head of Fidelity Health Implementation, Client Service and Operations",Fidelity Investments,2023-05,current,
Fidelity Investments,Amelia Volz,"Operations Director, Client Services",https://www.linkedin.com/in/amelia-volz-8b9a6b1/,"Operations Director, Client Services",Fidelity Investments,2010-01,current,
Fidelity Investments,Amy Hansel,Head of Financial Operations,https://www.linkedin.com/in/amy-hansel-a099385/,Head of Financial Operations,Fidelity Investments,2022-01,current,
Fidelity Investments,Anna Colombo,Head of HR/Payroll Client Service Operations,https://www.linkedin.com/in/anna-colombo-b620887/,Head of Tax Exempt Market Client Service,Fidelity Investments,2022-06,current,title changed from input
Fidelity Investments,David Cannistraro,Vice President of Loan Operations,https://www.linkedin.com/in/david-cannistraro-44b6709/,Vice President of Loan Operations,Fidelity Investments,2025-12,current,
Fidelity Investments,Bill Kraus,Senior Director Domestic and Stock Loan Operations,https://www.linkedin.com/in/bill-kraus-b356a74/,Senior Director Domestic and Stock Loan Operations,Fidelity Investments,2016-06,current,
Fidelity Investments,Brenton Sadowski,"Director, Loan Operations",https://www.linkedin.com/in/brenton-sadowski-638a7164/,"Director, Loan Operations",Fidelity Investments,2025-12,current,
Fidelity Investments,Katie Haley Thomas,"VP, HR Operations",https://www.linkedin.com/in/katie-haley-thomas-1544a07/,"VP, HR Operations",Fidelity Investments,2025-04,current,
Fidelity Investments,Lauren M.,Head of Billing Operations,https://www.linkedin.com/in/lauren-m-17a50127/,Head of Billing Operations,Fidelity Investments,2024-10,dual,"3 profiles; hand-picked the Head of Billing Operations profile (lauren-m-17a50127), confirm in Sales Nav"
Fidelity Investments,Mark Wehner,"Vice President, Billing Operations and Accounts Receivable",https://www.linkedin.com/in/markwehner/,"Vice President, Billing Operations and Accounts Receivable",Fidelity Investments,2015-08,current,
Fidelity Investments,Michelle Delamere,"Vice President, Line HR Operations",https://www.linkedin.com/in/michelle-delamere-ba88752/,"Vice President, Line HR Operations",Fidelity Investments,2021-10,current,
Fidelity Investments,Syed Raza Razvi,Head of Global Fraud Detection Operations,https://www.linkedin.com/in/syed-raza-razvi-54647836a/,Head of Global Fraud Detection Operations,Fidelity Investments,2025-04,current,
Fidelity Investments,Andrew Czuchra,"Director, Private Credit & Term Loan Operations",https://www.linkedin.com/in/andrew-czuchra-3091578a/,"Director, Private Credit & Term Loan Operations",Fidelity Investments,2026-07,current,
Fidelity Investments,"Noah Rhodes, CFA","CFO, National Financial Services",https://www.linkedin.com/in/noah-rhodes-cfa-28825b/,"CFO, National Financial Services",Fidelity Investments,2025-09,current,
Fidelity Investments,Vicki Humston-Casas,"SVP, Head of Enterprise Finance Shared Services",https://www.linkedin.com/in/vicki-humston-casas-26a2182/,"SVP, Head of Enterprise Finance Shared Services",Fidelity Investments,2021-07,current,
Fidelity Investments,Don Holborn,EVP Retirement Services,https://www.linkedin.com/in/don-holborn-0205858/,EVP Retirement Services,Fidelity Investments,,current,no start date returned
Fidelity Investments,Kevin Barry,Chief Financial Officer,https://www.linkedin.com/in/kevin-barry-bb94901/,Chief Financial Officer,Fidelity Investments,2024-01,dual,"2 profiles at Fidelity; picked most recent start (2024-01, CFO); other is Planning Consultant since 2020-07 (kevin-barry-0862bb51)"
Fidelity Investments,Marty McGee,Head of Asset Management Line Finance and Board Finance Oversight; CFO of Fidelity Inst'l Asset Mgt,https://www.linkedin.com/in/marty-mcgee-0b5a419/,Head of Asset Management Line Finance and Board Finance Oversight;  CFO of Fidelity Inst'l Asset Mgt,Fidelity Investments,2020-03,current,
Fidelity Investments,Mike Pegnato,"COO, Fidelity Personal Trust Company",https://www.linkedin.com/in/mike-pegnato-5857232/,"COO, Fidelity Personal Trust Company",Fidelity Investments,2024-01,current,
Fidelity Investments,Pankaj Shetye,Director Business Management/COO,https://www.linkedin.com/in/pankaj-shetye-pmp-104a192/,Director Business Management/COO,Fidelity Investments,2021-12,current,
Fidelity Investments,Brian Blalock,"SVP, Head of Healthcare Operations",https://www.linkedin.com/in/brianblalock34/,"SVP, Head of Healthcare Operations",Fidelity Investments,2022-07,current,
Fidelity Investments,Charlotte McPherson,SVP/Head of Middle Office Operations,https://www.linkedin.com/in/charlotte-mcpherson-12945311/,SVP/Head of Middle Office Operations,Fidelity Investments,2019-06,current,
Fidelity Investments,Christine Selmi,Senior Vice President Operations,https://www.linkedin.com/in/christine-selmi-2a8857b/,Senior Vice President Operations,Fidelity Investments,2020-02,current,
Fidelity Investments,Daniel Tobin,Senior Vice President National Operations,https://www.linkedin.com/in/daniel-tobin-700924/,Advisor,Stellaris Corporation,2025-10,left,"new company Stellaris Corporation (Advisor, 2025-10); 2 profiles seen, picked most recent start; other is a Fidelity Customer Relationship Advocate since 2024-09 (linkedin.com/in/daniel-tobin/), not the SVP"
Fidelity Investments,Geoff Sullivan,Senior Vice President Operations,https://www.linkedin.com/in/geoff-sullivan-416926244/,Senior Vice President Operations,Fidelity Investments,,current,no start date returned
Fidelity Investments,James Patrick Nugent CPA CFA,SVP - Retirement Services,https://www.linkedin.com/in/james-patrick-nugent-cpa-cfa-837b09a/,Vice President - Retirement Services,Merrill Lynch,2014-01,left,profile shows Merrill Lynch VP since 2014; stale index row
Fidelity Investments,Jessica Henck,"SVP, Head of Global Workforce Optimization",https://www.linkedin.com/in/jessica-henck-567a5b5/,"SVP, Head of Global Workforce Optimization",Fidelity Investments,2024-07,current,
Fidelity Investments,Kim Cummins,SVP: WI Operations--Organizational Performance,https://www.linkedin.com/in/kim-cummins-15748a10/,Retired,Fidelity Investments,2021-07,left,"profile title is Retired (company field still Fidelity Investments, since 2021-07)"
National Grid,Chris McConnachie,CFO - New York,https://www.linkedin.com/in/chris-mcconnachie-3434362a/,Chief Financial Officer,Central Hudson,2026-04,left,"new company Central Hudson (CFO, 2026-04)"
National Grid,Christina Bostic,VP of Billing & Collections,https://www.linkedin.com/in/christina-bostic-568451/,VP of Billing & Collections,National Grid,2025-06,current,
National Grid,Jeffrey Koenig,Director - US Collections and Payment Processing,https://www.linkedin.com/in/jeffrey-koenig-a8248aa/,Director - US Collections and Payment Processing,National Grid,2020-08,current,
National Grid,Kaitlin Taylor,"VP, Controller & FP&A - New England",https://www.linkedin.com/in/kaitlin-taylor-b16a2353/,"VP, Controller & FP&A - New England",National Grid,2024-05,current,
National Grid,Andrew Harju,"Director, Finance Transformation",https://www.linkedin.com/in/andrew-harju-9941821/,"Director, Finance Transformation",National Grid,2024-09,current,
National Grid,Efy Knoell,Director NY Financial Planning & Analysis,https://www.linkedin.com/in/efy-knoell-a5295498/,Director NY Financial Planning & Analysis,National Grid,2023-06,current,
National Grid,Howard Kamensky,"Director, Finance Operations",https://www.linkedin.com/in/howard-kamensky-2b846a55/,"Director, Finance Operations",National Grid,2022-04,current,
National Grid,Matthew Barnett,Chief Operating Officer,https://www.linkedin.com/in/matthew-barnett-20262a26/,Chief Operating Officer,National Grid,2025-03,current,
National Grid,Tom LaVeck,"Global Head of Payroll, Rewards and Time",https://www.linkedin.com/in/tom-laveck-36651b30/,"Global Head of Payroll, Rewards and Time",National Grid,2025-05,current,
National Grid,James MacVicar,Director Of Workforce Management,https://www.linkedin.com/in/james-macvicar-3776b26/,Director Of Workforce Management,National Grid,2021-08,current,
National Grid,Nathaniel Standish,"CFO, National Grid Ventures U.S.",https://www.linkedin.com/in/nathaniel-standish-a6752724/,"CFO, National Grid Ventures U.S.",National Grid,2024-12,current,
National Grid,Shri Madhusudhan,"Chief Administrative Officer, NY",https://www.linkedin.com/in/shrimadhusudhan/,"Chief Administrative Officer, NY",National Grid,2017-05,current,
National Grid,Kevin Knapp,SVP US Supply Chain,https://www.linkedin.com/in/kevin-knapp-3373a89/,SVP US Supply Chain,National Grid,2007-02,current,
National Grid,Bryan M.,Head of Program Procurement and Business Partner,https://www.linkedin.com/in/bryan-m-3947a35/,Head of Program Procurement and Business Partner,National Grid,2025-09,current,
National Grid,David Butler,"Senior Director | Procurement, Vendor Management & MSP Governance",https://www.linkedin.com/in/david-butler-b340219/,Vice President Procurement & Vendor Management,symplr,2026-08,left,"new company symplr (VP Procurement & Vendor Management, 2026-08)"
National Grid,"Paul McCool, CPSM","Director, Program Procurement - NGV",https://www.linkedin.com/in/paul-mccool-cpsm-8aa1308b/,"Director, Program Procurement - NGV",National Grid,2026-08,current,
National Grid,Philippe Montillier,Director - Global Procurement Planning,https://www.linkedin.com/in/philippe-montillier-b5aaa26/,Director - Global Procurement Planning,National Grid,2019-09,current,
National Grid,Nicola Rigby White,Vice President US Procurement,https://www.linkedin.com/in/nicolarwhite/,Vice President US Procurement,National Grid,2022-01,current,
National Grid,Erik Molinaro,"VP, Head of Customer Operations (Kraken Program)",https://www.linkedin.com/in/erik-molinaro-89b104/,"VP, Head of Customer Operations (Kraken Program)",National Grid,2025-09,current,
National Grid,Matt Barber,Head of US Service Operations,https://www.linkedin.com/in/matt-barber-1681b532/,IT Asset Lifecycle Management at National Grid,National Grid,2020-05,not_found,"bridge returned an IT Asset Lifecycle profile, likely a different person; confirm in Sales Nav"
National Grid,Bill Malee,Chief Customer Officer,https://www.linkedin.com/in/bill-malee-79bba19/,Chief Customer Officer,National Grid,2024-11,current,
National Grid,Celeste Schneider,Chief People Officer,https://www.linkedin.com/in/celesteschneider/,Chief People Officer,National Grid,2021-04,current,
National Grid,Charles McLeod,"Chief Financial Officer, New York",https://www.linkedin.com/in/charles-mcleod-824a631/,"Chief Financial Officer, New York",National Grid,2026-03,current,
National Grid,Douglas Stein,"Chief Financial Officer, New England",https://www.linkedin.com/in/douglas-stein/,"Chief Financial Officer, New England",National Grid,2026-06,current,
National Grid,Eric Brouker,Chief Hot Stick Lineman,https://www.linkedin.com/in/eric-brouker-84a7213b2/,Chief Hot Stick Lineman,National Grid,2022-06,current,
National Grid,Sam Dunton,"VP of Finance, CFO of Global Group Functions",https://www.linkedin.com/in/sam-dunton-66bb3530/,"VP of Finance, CFO of Global Group Functions",National Grid,2025-06,current,
National Grid,Steve Bowman,"chief ""hs""",https://www.linkedin.com/in/steve-bowman-4a98a131/,"chief ""hs""",National Grid,,current,no start date returned
National Grid,Brian McNaughton,Director STREAMS Work Planning & Resourcing,https://www.linkedin.com/in/brian-mcnaughton-ba370214/,Director STREAMS Work Planning & Resourcing,National Grid,2025-08,current,
National Grid,Endrit Fiku,Director of Customer Meter Services,https://www.linkedin.com/in/endrit-fiku-13896812/,Head of Engineering Delivery,National Grid,2026-06,current,title changed from input (new role 2026-06)
National Grid,Griffin Reilly,Finance Director,https://www.linkedin.com/in/griffin-reilly-71455220/,Finance Director,National Grid,2025-01,current,
National Grid,James (Jim) Reynolds  MBA,Global Finance Director,https://www.linkedin.com/in/james-jim-reynolds-★-mba-14003410/,Global Finance Director,National Grid,2021-04,current,
National Grid,James Brennan,"Director, Finance Data and Reporting Office",https://www.linkedin.com/in/james-brennan-59334813/,"Director, Finance Data and Reporting Office",National Grid,2019-10,current,
