parent_org,contract_id,marketing_name,org_type,snp,members,forgone_qbp_musd,lead_product,sell_window,priority_tier,measure_profile,addressable_measure_gaps,rationale,gtm_engine_sourced,source_motion,sourced_date
Medica Holding Company,H8889,Medica,Local CCP,Yes,111604,37.1,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.8 / Clin 3.4,"D05 Drug Plan (2★), C29 Appeals Upheld (3★), C30 FL/TTY (3★), C19 Getting Care (3★), C20 Appts Quickly (3★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H3379,UnitedHealthcare,Local CCP,Yes,99682,33.1,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.6 / Clin 3.5,"C23 Health Plan (2★), D05 Drug Plan (2★), C21 Cust Service (3★), C19 Getting Care (3★), C22 Care Quality (3★) +5 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Humana,H5970,Humana,Local CCP,Yes,87568,29.1,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.4 / Clin 3.1,"D04 D Quality Imp (1★), C23 Health Plan (2★), D05 Drug Plan (2★), C29 Appeals Upheld (3★), C22 Care Quality (3★) +1 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
California Physicians' Service,H0504,Blue Shield of California,Local CCP,No,56505,19.8,QO,Now (QO),A - QO now,CS 3.4 / Clin 3.6,"C20 Appts Quickly (1★), C24 Care Coord (1★), C19 Getting Care (2★), C21 Cust Service (3★), C22 Care Quality (3★) +2 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H3113,UnitedHealthcare,Local CCP,Yes,81332,27.0,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.4 / Clin 3.3,"C19 Getting Care (1★), D04 D Quality Imp (1★), C21 Cust Service (2★), C20 Appts Quickly (3★), C26 Disenroll (3★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Cambia Health Solutions, Inc.",H3817,Regence BlueCross BlueShield of Oregon,Local CCP,No,52151,18.3,QO,Now (QO),A - QO now,CS 3.5 / Clin 3.3,"C20 Appts Quickly (1★), C19 Getting Care (2★), C23 Health Plan (2★), C24 Care Coord (2★), D05 Drug Plan (2★) +3 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"Horizon Mutual Holdings, Inc",H0885,Braven Health,Local CCP,No,50096,17.6,QO,Now (QO),A - QO now,CS 3.7 / Clin 3.3,"D05 Drug Plan (2★), C21 Cust Service (3★), C19 Getting Care (3★), C24 Care Coord (3★), D04 D Quality Imp (3★) +1 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"EmblemHealth, Inc.",H3528,ConnectiCare,Local CCP,No,48699,17.1,QO,Now (QO),A - QO now,CS 3.5 / Clin 3.4,"C23 Health Plan (2★), D05 Drug Plan (2★), C21 Cust Service (3★), C19 Getting Care (3★), C20 Appts Quickly (3★) +4 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
CVS / Aetna,H3931,Aetna Medicare,Local CCP,Yes,71855,23.9,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.7 / Clin 3.2,"C21 Cust Service (3★), C28 Appeals Timely (3★), C19 Getting Care (3★), C20 Appts Quickly (3★), C22 Care Quality (3★) +1 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Blue Cross and Blue Shield of Massachusetts, Inc.",H2230,Blue Cross Blue Shield of Massachusetts,Local CCP,No,45119,15.8,QO,Now (QO),A - QO now,CS 3.6 / Clin 3.8,"C19 Getting Care (2★), C20 Appts Quickly (2★), C22 Care Quality (2★), C24 Care Coord (2★), D05 Drug Plan (2★) +2 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Blue Cross Blue Shield of Michigan Mutual Ins. Co.,H6898,Vermont Blue Advantage,Local CCP,No,45000,15.8,QO,Now (QO),A - QO now,CS 3.8 / Clin 3.3,"C29 Appeals Upheld (2★), C23 Health Plan (2★), C28 Appeals Timely (3★), C19 Getting Care (3★), C20 Appts Quickly (3★) +2 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"Intermountain Health Care, Inc.",H2246,Select Health,Local CCP,No,45000,15.8,QO,Now (QO),A - QO now,CS 3.6 / Clin 3.3,"D05 Drug Plan (1★), D06 Getting Rx (2★), C30 FL/TTY (3★), C26 Disenroll (3★), D03 D Disenroll (3★)",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
UCare Minnesota,H8070,UCare,Local CCP,No,45000,15.8,QO,Now (QO),A - QO now,CS 3.8 / Clin 3.8,"C20 Appts Quickly (2★), D05 Drug Plan (2★), D06 Getting Rx (2★), C19 Getting Care (3★)",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Blue Cross Blue Shield of Arizona,H0302,Blue Cross Blue Shield of Arizona (AZ Blue),Local CCP,No,43003,15.1,QO,Now (QO),A - QO now,CS 3.1 / Clin 4.0,"C30 FL/TTY (1★), D01 D FL/TTY (2★), C19 Getting Care (2★), C20 Appts Quickly (2★), C24 Care Coord (2★) +5 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"Blue Cross and Blue Shield of Massachusetts, Inc.",H2261,Blue Cross Blue Shield of Massachusetts,Local CCP,No,41074,14.4,QO,Now (QO),A - QO now,CS 3.9 / Clin 3.5,"C22 Care Quality (2★), C23 Health Plan (2★), D05 Drug Plan (2★), D06 Getting Rx (2★), C19 Getting Care (3★) +2 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Visiting Nurse Service of New York,H5549,VNS Health Medicare,Local CCP,Yes,60060,19.9,BOO,At BOO GA (Sep 2026),C - BOO,CS 2.8 / Clin 4.4,"C21 Cust Service (1★), C24 Care Coord (1★), C19 Getting Care (2★), C22 Care Quality (2★), C23 Health Plan (2★) +10 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Centene,H0174,Wellcare,Local CCP,Yes,57828,19.2,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.4 / Clin 3.0,"C26 Disenroll (2★), D03 D Disenroll (2★), C25 Complaints (3★), C28 Appeals Timely (3★), C29 Appeals Upheld (3★) +6 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"EmblemHealth, Inc.",H3330,EmblemHealth,Local CCP,No,35500,12.5,QO,Now (QO),A - QO now,CS 3.5 / Clin 3.1,"C20 Appts Quickly (1★), C22 Care Quality (2★), C23 Health Plan (2★), C24 Care Coord (2★), D06 Getting Rx (2★) +3 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
PacificSource,H3864,PacificSource Medicare,Local CCP,Yes,53306,17.7,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.6 / Clin 3.1,"C19 Getting Care (2★), C20 Appts Quickly (2★), C22 Care Quality (2★), D05 Drug Plan (2★), C28 Appeals Timely (3★) +4 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Centene,H1032,Wellcare,Local CCP,Yes,50482,16.8,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.6 / Clin 3.5,"C23 Health Plan (2★), C26 Disenroll (2★), D03 D Disenroll (2★), C28 Appeals Timely (3★), C29 Appeals Upheld (3★)","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Imperial Health Plan of California,H5496,"Imperial Health Plan of California, Inc.",Local CCP,Yes,49913,16.6,BOO,At BOO GA (Sep 2026),C - BOO,CS 2.7 / Clin 4.3,"C19 Getting Care (1★), C23 Health Plan (1★), C21 Cust Service (2★), C25 Complaints (2★), D02 D Complaints (2★) +4 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Centene,H4506,Wellcare,Local CCP,No,29470,10.3,QO,Now (QO),A - QO now,CS 3.6 / Clin 3.6,"C28 Appeals Timely (2★), C23 Health Plan (2★), C21 Cust Service (3★), C22 Care Quality (3★), C24 Care Coord (3★) +3 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Centene,H4868,Wellcare,Local CCP,Yes,42434,14.1,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.3 / Clin 3.2,"C23 Health Plan (1★), C19 Getting Care (2★), C26 Disenroll (2★), D03 D Disenroll (2★), D05 Drug Plan (2★) +1 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H2247,UnitedHealthcare,Local CCP,Yes,39257,13.0,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.3 / Clin 2.8,"D04 D Quality Imp (1★), C20 Appts Quickly (2★), C21 Cust Service (3★), C25 Complaints (3★), D02 D Complaints (3★) +7 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
The Cigna Group,H3949,Cigna Healthcare,Local CCP,Yes,37336,12.4,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.5 / Clin 3.6,"C23 Health Plan (2★), C21 Cust Service (3★), C19 Getting Care (3★), C20 Appts Quickly (3★), C26 Disenroll (3★) +5 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Louisiana Health Service & Indemnity Company,H6453,Blue Cross and Blue Shield of Louisiana,Local CCP,Yes,36665,12.2,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.8 / Clin 3.4,"C23 Health Plan (2★), D05 Drug Plan (2★), C21 Cust Service (3★), C24 Care Coord (3★), C27 Quality Imp (3★) +1 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Elevance,H5854,Anthem Blue Cross and Blue Shield,Local CCP,Yes,35903,11.9,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.5 / Clin 3.3,"C20 Appts Quickly (2★), D06 Getting Rx (2★), C21 Cust Service (3★), C19 Getting Care (3★), C23 Health Plan (3★) +5 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Hawaii Medical Service Association,H3832,HMSA Akamai Advantage,Local CCP,Yes,35723,11.9,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.6 / Clin 3.3,"C21 Cust Service (2★), D05 Drug Plan (2★), C28 Appeals Timely (3★), C19 Getting Care (3★), C20 Appts Quickly (3★) +6 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Zing Health Consolidator, Inc",H4624,Zing Health,Local CCP,Yes,32919,10.9,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.1 / Clin 3.2,"C29 Appeals Upheld (1★), C25 Complaints (2★), D02 D Complaints (2★), C20 Appts Quickly (2★), C22 Care Quality (2★) +6 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H0624,UnitedHealthcare,Local CCP,Yes,32447,10.8,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.0 / Clin 3.5,"C20 Appts Quickly (1★), C27 Quality Imp (1★), D04 D Quality Imp (1★), C19 Getting Care (2★), C23 Health Plan (2★) +3 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
CareSource,H6396,CareSource,Local CCP,Yes,29364,9.7,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.4 / Clin 3.5,"C23 Health Plan (2★), C27 Quality Imp (2★), D05 Drug Plan (2★), C21 Cust Service (3★), C20 Appts Quickly (3★) +5 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
HCSC,H8634,"Blue Cross and Blue Shield of IL, NM",Local CCP,Yes,27389,9.1,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.5 / Clin 3.1,"C23 Health Plan (2★), D05 Drug Plan (2★), D06 Getting Rx (2★), C21 Cust Service (3★), C29 Appeals Upheld (3★) +4 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
CVS / Aetna,H3192,Aetna Medicare,Local CCP,Yes,26877,8.9,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.7 / Clin 3.3,"C26 Disenroll (2★), D03 D Disenroll (2★), C28 Appeals Timely (3★), C22 Care Quality (3★), D06 Getting Rx (3★)","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Horizon Mutual Holdings, Inc",H8298,Horizon Blue Cross Blue Shield of New Jersey,Local CCP,Yes,25926,8.6,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.5 / Clin 3.5,"D04 D Quality Imp (1★), C19 Getting Care (2★), C21 Cust Service (3★), C20 Appts Quickly (3★), C22 Care Quality (3★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Centene,H5590,Wellcare by Allwell,Local CCP,Yes,25825,8.6,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.4 / Clin 2.9,"C21 Cust Service (1★), D06 Getting Rx (1★), C19 Getting Care (2★), C20 Appts Quickly (2★), C22 Care Quality (3★) +3 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Mass General Brigham Incorporated,H9485,Mass General Brigham Health Plan,Local CCP,No,17040,6.0,QO,Now (QO),A - QO now,CS 3.8 / Clin 3.7,"C21 Cust Service (2★), D05 Drug Plan (2★), C30 FL/TTY (3★), C19 Getting Care (3★), D06 Getting Rx (3★)",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Thomas Jefferson University,H9207,Jefferson Health Plans,Local CCP,Yes,25023,8.3,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.8 / Clin 3.5,"C20 Appts Quickly (2★), C29 Appeals Upheld (3★), C30 FL/TTY (3★), C19 Getting Care (3★), C27 Quality Imp (3★) +1 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H2226,UnitedHealthcare,Local CCP,Yes,24604,8.2,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.4 / Clin 4.0,"C20 Appts Quickly (1★), D04 D Quality Imp (1★), C21 Cust Service (2★), C19 Getting Care (2★), D06 Getting Rx (2★) +3 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Commonwealth Care Alliance, Inc.",H2225,Commonwealth Care Alliance Massachusetts,Local CCP,Yes,18086,6.0,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.7 / Clin 4.0,"C24 Care Coord (2★), D06 Getting Rx (2★), C29 Appeals Upheld (3★), C30 FL/TTY (3★), D01 D FL/TTY (3★) +3 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Indiana University Health,H7220,Indiana University Health Plans,Local CCP,No,11476,4.0,QO,Now (QO),A - QO now,CS 3.4 / Clin 3.4,"D04 D Quality Imp (1★), C27 Quality Imp (2★), D05 Drug Plan (2★), D06 Getting Rx (2★), C30 FL/TTY (3★) +3 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Humana,H4623,Humana,Local CCP,No,11445,4.0,QO,Now (QO),A - QO now,CS 3.6 / Clin 3.2,"D04 D Quality Imp (1★), C23 Health Plan (2★), C26 Disenroll (2★), C27 Quality Imp (2★), D03 D Disenroll (2★) +2 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"Point32Health, Inc.",H5273,CarePartners of Connecticut,Local CCP,No,11033,3.9,QO,Now (QO),A - QO now,CS 3.7 / Clin 3.5,"C21 Cust Service (3★), C19 Getting Care (3★), C20 Appts Quickly (3★), C24 Care Coord (3★), C27 Quality Imp (3★) +2 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
CVS / Aetna,H8597,Aetna Medicare,Local CCP,Yes,15267,5.1,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.3 / Clin 3.4,"C26 Disenroll (2★), D03 D Disenroll (2★), C21 Cust Service (3★), C25 Complaints (3★), C28 Appeals Timely (3★) +6 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Baystate Health, Inc.",H8578,Health New England Medicare Advantage Plans,Local CCP,No,9748,3.4,QO,Now (QO),A - QO now,CS 3.4 / Clin 3.5,"C29 Appeals Upheld (2★), C19 Getting Care (2★), C20 Appts Quickly (2★), C22 Care Quality (2★), D05 Drug Plan (2★) +6 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"Devoted Health, Inc.",H2686,Devoted Health,Local CCP,No,9481,3.3,QO,Now (QO),A - QO now,CS 3.4 / Clin 4.2,"C20 Appts Quickly (1★), C19 Getting Care (2★), C21 Cust Service (3★), C22 Care Quality (3★), C24 Care Coord (3★) +1 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
