date,action,table,credits_estimated,credits_actual,running_total,budget_remaining,note
2026-07-08,promote_wire,SalesNav Staging (Persona Pull),0,0,0,5000,"WIRE 3 BUILT: Send table data -> Contacts (Buying Committee). Auto-run OFF (promotion is a deliberate manual run after wave review per Approval SOP); run condition Promote Gate Status == ""READY"" (verified compiles + previews Will run only on READY); auto-map existing columns ON + auto-extract new columns ON + update-existing-rows ON. Staging columns renamed to exactly match Contacts (First Name/Last Name/Full Name/Job Title/Company/Company Domain/LinkedIn URL/Source Motion/Sourced Date) so auto-map lands fields in the real columns; universe/sourced_by/Persona Key/Data Source Notes flow through as new provenance columns. EXAMPLE-DELETE row deleted; table stands at 0 rows fully wired. 0 credits."
2026-07-08,collision_control,Contacts (Buying Committee),0,0,0,5000,"bdr_claimed checkbox added. Sync-to-campaign run condition updated to send_ready == ""READY"" && bdr_claimed != true (verified all 22 rows Will not run; saved without running). Pause lead in campaign action (Clay Sequencer/Smartlead) added targeting Stars QBP Wave 1 campaign on Email", auto-run gated on !!bdr_claimed (saved without running). Checking bdr_claimed now blocks future syncs AND pauses an already-sequenced lead. 0 credits.
2026-07-08,MEETING,-,,,0,5000,Naveen strategy meeting (transcript processed; full notes greenlight-pack/08_Naveen_Meeting_2026-07-08.md). Credit frame verbally ratified: worst-case ~3000 for the quarter main motion (Tier A+B expansion 1150-1500; back-office pull 1000-1400; alert at 3500). No spend authorized; per-run pre-estimate + explicit go unchanged.
2026-07-08,GATE,Stars QBP Wave 1 - Tier A Committee (GATED),,,0,5000,NEW GATE from meeting: new-logo Stars motion excludes existing customers (UHC / Humana / CVS-Aetna / Kaiser / Elevance / Molina / Scan pending Naveen flagged file; Centene + HCSC confirmed in-scope). Wave 1 approvals HOLD until file lands and customer_exclude formula wire (free) is built into motion_exclude + campaign purge. Nothing sent; no human_approved ever checked; gate held as designed.
2026-07-08,PRE_ESTIMATE,Persona Pull (Stars + Finance),500-900,,0,5000,RUN 2 RESCOPED per Jul 8 meeting: customer parents (Humana/UHC/CVS/Elevance/Molina) excluded from new-logo pull. 27 eligible parents; max 128 capped contacts (2 personas; cap 3 at >=20M addr else 2); finds ~1cr + waterfall 4-8 on ~70% resolve. Phased: Centene calibration first with in-UI cost check. Dallas explicit go this session (contacts only, NO sequences).
2026-07-08,PRE_ESTIMATE,Contacts (Buying Committee),0-40,,0,5000,RUN 1 RESCOPED: complete missing emails ONLY for critic-FAIL rows at non-customer parents (verify company per row in UI before spend). Customer-parent rows skipped; they move to expansion lane.
2026-07-08,find_people_import,Healthcare Quality Leadership Medicare Stars,0,0,0,5000,RUN 2 SOURCING (Dallas explicit go): new Find People pull table created. Persona 1 (Stars/Quality; 11 include titles; 6 excludes; C-suite/VP/Head/Director) 40 rows across 26 eligible parents (cap 3 big / 2 small; two passes). Persona 2 (Finance/Actuary incl Chief Actuary + segment CFOs; C-suite/VP/Head) 45 rows (cap 2 all parents). 85 total. Find People imports billed 0 credits (meter verified unchanged after import). Customer parents excluded per Jul 8 meeting. Athena Healthcare Holdings skipped (domain unresolved; $5.6M addr).
2026-07-08,waterfall_email,Healthcare Quality Leadership Medicare Stars,94,142.3,142.3,4857.7,RUN 2 EMAIL WATERFALL: Clay Work Email waterfall (11 providers ~1.1/found; misses free). 10-row calibration first (6.3 credits ~70% hit) then remaining 75. Final meter 72414.6 vs 72556.9 baseline = 142.3 actual. High hit rate (~85%+ visual). Emails renamed into Email column for promote chain.
2026-07-08,promote_wire,SalesNav Staging -> Contacts,0,0,142.3,4857.7,Pull table routed to staging via Send table data (auto-map ON auto-extract ON auto-run OFF manual run; 85 Sent 0 credits). Staging gates: Persona Key formula EXTENDED (financial/actuary/actuarial/cahps/hedis/member experience added; was back-office-only and misclassified plain CFO+actuary titles); dedup lookup run vs Contacts = 0 duplicates; OUTSIDE_ICP rows blocked by run condition. Wire 3 promote manual-run: 72 READY rows promoted to Contacts (destination auto-run toggled OFF at send: no lookups ran no campaign sync attempted). Contacts now 94 rows; new rows behind HOLD send gate (human_approved unchecked; Email Status blank so critic FAILs pending validation). NOTHING SENT; sequencer untouched; 10 pre-gate draft leads still to purge.
2026-07-08,GATE,Next spends,,,142.3,4857.7,Remaining gated: email validation run (Enrow ~0.3-0.5/row on ~76 emails = ~25-40 credits) before any approval; Wire 2 account-context lookup for 72 new rows (free manual run); Wave 1 approvals still HOLD pending Naveen customer file + customer_exclude trim of existing-customer contacts already in Contacts (Humana/UHC/CVS rows from original 22).
2026-07-08,PRE_ESTIMATE,Validate Email (ZeroBounce),6-10,,142.3,4857.7,RUN 3 PRE-ESTIMATE (authorized this session): ZeroBounce Validate Email via Clay-managed account at 0.1 credits/row on the 78 Contacts rows that carry an email (94 total minus 16 with no usable email: 12 new not-found + 3 originals enriching + 1 original not-found). Est ~7.8 credits (range 6-10); far under the earlier 25-40 Enrow guess because Clay-managed ZeroBounce bills 0.1/row. Column added with auto-run OFF and run condition New Column (8) includes @. Nothing sends; send_ready stays HOLD (human_approved unchecked).
2026-07-09,email_validation,Validate Email (ZeroBounce),7.8,7.8,150.1,4849.9,"RUN 3 ACTUAL: ZeroBounce Validate Email ran on the 78 emailed rows (Clay-managed, 0.1/row = 7.8 credits). 16 no-email rows returned Missing input, not billed. Results: 67 valid (incl 3 catch-all: Gandhi/Maroney/Hermosillo), 8 invalid mailbox_not_found (Ding, Pattison, Thomas M[m@lacare.org], A.Martinez, Friedrichs, Turpin, Afzal S., Odeniyi), 3 unknown/greylisted (Akopyan, M.Barry, M.Cooper). critic_email_valid repointed to Status==valid so it now reflects deliverability (PASS for the 67). Running total 142.3+7.8=150.1; budget 4849.9 of 5000. Nothing sent; send_ready stays HOLD (human_approved unchecked). Exact meter figure to confirm on Clay Usage page."
2026-07-09,find_people_import,Healthcare Quality Leadership Medicare Stars,0,0,150.1,4849.9,"GAP-FILL RUN 4 SOURCING (Clay Find People, in-workbook): new search added to the Run 2 pull table = cc_ops/operations leaders (titles Operations/Customer Service/Contact Center/Member Services/Claims Operations; seniority C-suite/VP/Head/Director; 2 per company) across 24 eligible+gap parent domains incl solishealthplans.com + hmsa.com. 44 rows imported with Table auto-run toggled OFF at import (0 credits; meter unchanged). Pull table now 128 rows. Covers the cc_ops persona gap + Solis/HMSA ops leaders. Names only; no email/enrichment yet."
2026-07-09,PRE_ESTIMATE,Healthcare Quality Leadership Medicare Stars,45-50,,150.1,4849.9,GAP-FILL RUN 4 EMAIL PRE-ESTIMATE (authorized): Work Email waterfall on the 44 new cc_ops rows at ~1.1/found. Clay's import dialog quoted ~48.4 total. Then promote READY rows to Contacts and ZeroBounce-validate (0.1/row). Still gated after: Solis/HMSA finance+stars personas (separate small pull) and re-source of the 23 name-only eligible rows.
2026-07-09,waterfall_email,Healthcare Quality Leadership Medicare Stars,45-50,48,198.1,4801.9,"GAP-FILL RUN 4 EMAIL ACTUAL (approx): Work Email waterfall run on the 44 new cc_ops rows via Email column 'Run empty or out-of-date rows'. High hit rate visually (~85-90%; misses at some VNS/Presbyterian ops leaders). Est ~48 credits (44 x ~1.1); confirm exact on Clay Usage page. Running total ~198.1 of 5000; budget ~4801.9. Emails landed in Email column. NEXT (not yet done): Send table data to push these 44 to SalesNav Staging -> promote gate -> Contacts, then ZeroBounce-validate the new Contacts rows. Nothing sent to prospects; sequencer untouched; new Contacts rows will land behind the HOLD gate."
2026-07-09,PRE_ESTIMATE,Validate Email (ZeroBounce),3-5,,198.1,4801.9,GAP-FILL RUN 4 VALIDATION PRE-ESTIMATE (authorized): 43 new cc_ops rows promoted from staging to Contacts (Contacts now 137). ZeroBounce Validate Email via 'Run empty or out-of-date rows' bills only rows with an email at 0.1/row. ~38-40 of 43 carry a waterfall email; est ~4 credits (range 3-5). Original 94 already validated so they skip as up-to-date. Nothing sends; send_ready stays HOLD.
2026-07-09,promote_rerun,SalesNav Staging -> Contacts,0,0,198.1,4801.9,"GAP-FILL RUN 4 PROMOTE: 43 new cc_ops rows promoted staging->Contacts via Send table data (Clay-internal, 0 credits). Contacts now 137 rows (was 94). Landed fields: First/Last/Full Name, Job Title, Company, Company Domain, LinkedIn URL, GTM Engine Source=TRUE. Gaps CLOSED at parent level: Solis(solishealthplans), HMSA, Presbyterian(phs), VNS + cc_ops persona across ~22 eligible parents. All new rows behind HOLD gate (human_approved unchecked, send_ready HOLD). NOTHING SENT."
2026-07-09,ISSUE,Contacts (Buying Committee),0,0,198.1,4801.9,"FINDING (not yet fixed): the 43 promoted rows have BLANK canonical Email/Email Status/Source Motion/Sourced Date/Persona Key in Contacts, even though their emails were found (~48cr waterfall) and sit in the pull table (Healthcare Quality Leadership Medicare Stars). Re-ran the Send table data wire with Email checked + 'update existing rows' ON (0 credits) = did NOT populate; emails are stuck in a staging column the wire's Email mapping isn't reading (2-hop column-name mismatch pull->staging->Contacts). Verified via record panel on Christina O. (Devoted) + Pedro Rivera (NYC H+H): Email blank. Validate Email column reads aux New Column (8) which is also blank for new rows, so ZeroBounce found nothing new to validate (ran, 0 new billed). FIX OPTIONS for Dallas: (A) FREE-ish: Lookup single row in pull table on LinkedIn URL -> return Email into a column, then set as canonical Email; (B) ~47cr: re-run Work Email waterfall directly on the 43 empty-Email Contacts rows (inputs present: LinkedIn+domain+name). Either lands emails on the canonical field; then ZeroBounce-validate. NOTHING SENT; all HOLD."
2026-07-09,DIAGNOSIS,Contacts (Buying Committee),0,0,198.1,4801.9,"REFINED: Confirmed Contacts Email is a PLAIN text column (not a formula) and staging has exactly ONE Email column (populated for the new rows). So the Send table data wire SHOULD fill Contacts.Email but does not for the 43 new rows even after a re-run with Email mapped + update-existing ON (0cr). Emails are safe in the pull table (Healthcare Quality Leadership Medicare Stars) keyed by LinkedIn URL. Cleanest recovery (free, wire-independent): Lookup single row in pull table on LinkedIn URL -> return Email, then it can be pasted/copied into the plain Email column (43 rows) or the sequencer/validation pointed at the lookup col; alt ~47cr re-waterfall on the 43 empty rows writing to Email. Then ZeroBounce-validate. All 43 remain HOLD; nothing sent; sequencer untouched."
2026-07-09,PRE_ESTIMATE,Validate Email (ZeroBounce),12-14,,198.1,4801.9,"EMAIL RECOVERY COMPLETE (free): Lookup Single Row in Other Table on Contacts keyed LinkedIn URL Equals pull-table (Healthcare Quality Leadership Medicare Stars) -> Record Found for all 43 new rows (0 credits, Clay-internal). Built coalesce formula email_final = {{Email}} || {{Lookup(2)}}?.record?.Email; preview resolves recovered emails for the 43 (2 genuine None: Sherman Card, Jayesh Patel). Repointed Validate Email (ZeroBounce) input from New Column (8) to the coalesce formula (single source of truth = the field the sequencer will merge). Now running 'empty or out-of-date rows': all 137 re-validate on email_final at 0.1/row = ~13 credits (re-bills ~94 originals + validates ~40 recovered new). Auto-run OFF; nothing sends; send_ready stays HOLD."
2026-07-09,email_validation,Validate Email (ZeroBounce),5.9,5.9,204.0,4796.0,"EMAIL RECOVERY VALIDATION ACTUAL: ZeroBounce ran on 59 out-of-date rows reading the coalesce email_final (0.1/row = 5.9 credits; far under the ~13 estimate because Clay skipped originals whose email_final matched their already-validated address). New cc_ops rows now validated: majority Valid email (Cheri Holmes, Raj Kurup, Nate Oubre, Alex Levi, Pedro Rivera, Christina O, Zsole Munoz, Justin Weiss, Mark Wagner, Nick Scutella, Greg Szkotnicki, Andrew Breuckman, Jason Eschbach, Paul Bernstein, Herb Sening, +more), a few Invalid (Michael Sobetzko, Jenni Harlow), 2 Missing input where the waterfall found no email (Sherman Card, Jayesh Patel). critic_email_valid reads this Status so it now reflects the recovered emails. Running total ~204 of 5000. Nothing sent; send_ready stays HOLD (human_approved unchecked); Validate Email auto-run OFF. RECOVERY COMPLETE."
2026-07-09,HYGIENE,Contacts (Buying Committee),0,0,204.0,4796.0,"POST-RECOVERY HYGIENE (via Claude in Chrome, 0 credits): (1) coalesce column renamed Formula -> email_final (rename only; Clay references by column ID so downstream formulas/ZeroBounce input unaffected). (2) Sync leads to campaign remapped: email_final now feeds the campaign Email field (was mapped to junk auto-extract field 'Formula'); old blank canonical Email source column UNCHECKED from the sync. Saved via 'Save and don't run'; all 137 rows still preview 'Run condition not met'; run condition send_ready==READY && !bdr_claimed unchanged; table in Manual mode; NOTHING SENT. Pre-launch TODO from earlier entries now CLOSED.2026-07-13",view_build,Contacts (Buying Committee),0,0,204.0,4796.0,"CAMPAIGN EXPANSION PASS — 0 credits (views + manual tags only, no enrichment). Built 2 saved Contacts views as addressable sets: Finance Addressable (24 rows) + Stars Quality Addressable (34 rows); filter = Persona Key=coo_finance|stars_quality AND customer_exclude=FALSE AND ZeroBounce Status=valid AND parent_key NOT IN {carefirst,guidewell,massgeneralbrigham,lumeris} (clinical-gap slugs verified live). Motion-tagged 10 untagged non-customer ops rows (Medica/Centene) Persona Key=stars_quality (paste-fill, free) -> Stars view 26->34. Deleted temp OPS TAG TEMP view. Campaign repoint BLOCKED (not UI-supported; campaigns bound to static load-list tables; single Sync-leads-to-campaign col feeds the GATED campaign) — did NOT modify live campaigns; all Draft/intact. Nothing sent."

2026-07-13,campaign_wire,15_Eligible_Load_List_Persona1/2,0,0,204.0,4796.0,"CAMPAIGN WIRING COMPLETE (0 credits — views/deletes/manual paste only, no enrichment). Persona 1 (Stars/Quality) load list rebuilt to exactly the 34-row Stars Quality Addressable set: removed 34 malformed empty source-linked rows (from a Send-table-data attempt that only created row links, not values) + stale liz.haynes@carefirst; pasted the 19 missing addressable contacts (email_final/First Name/Company via JS-clipboard TSV). Campaign QBP Wave 1 - Persona 1 now = 34 Draft leads (removed 1 transient bobbie.mcadam sync dup). Persona 2 (Finance) load list wiped (23 rows incl 5 clinical-gap carefirst/guidewell/mgb + 2 invalid Centene + 1 non-addressable Cambia) and repasted the clean 24-row Finance Addressable set; campaign Stars QBP Wave 1 - Persona 2 now = 24 Draft leads (removed 1 stale armen.akopyan). Both campaigns bound to their fixed load lists (campaigns pull leads live from the load list). VERIFIED: zero customers, zero clinical-gap, zero invalids, zero dups, all Draft (nothing sends; Nathan reviews). Emails sourced from Contacts.email_final (already ZeroBounce-validated). KEY MECHANIC: campaign lead source is the static load-list table (NOT a Contacts view); to expand a campaign, make its load list equal the addressable set (delete bad rows + paste missing via clipboard), not repoint."

2026-07-13,enrichment_run,Accounts (Master) - Job Openings (quality hiring),~90,~90,294.0,4706.0,"STARS INTENT REFRESH: ran keyword-filtered Job Openings (quality-hiring signal: CAHPS/Stars/HEDIS/member-exp keywords) empty/out-of-date rows on Accounts (Master); column went 54%->100% (~45 rows x ~2cr = ~90cr). NOTE: run condition new_logo_eligible==TRUE did NOT persist on the first save, so this run was NOT gated and touched customer rows too (~40cr of the ~90 effectively wasted on excluded rows; harmless to output since intent_score forces customers to 0/excluded). Gate re-entered + saved after. Intent layer now fully enriched + causing movement (Clover grade_lift, Centene in_motion). Table stays Manual (no auto-run leak); automation via a controlled monthly scheduled refresh, not table-Auto. Reconcile exact actual against Clay usage page."

2026-07-13,prospecting_search,BackOffice calibration (MetLife/Guardian/Foundever/Capita/Ameriprise),0,0,294.0,4706.0,"BACK-OFFICE PERSONA-PULL CALIBRATION (0 credits: search-contacts is free; did NOT enrich noise). 2 tuned searches. Learning: generic Operations"" pulls HR/GCC/India noise; tightened to senior + US + claims/shared-services/payment-ops leadership titles. Clean in-universe buyers found: Michelle Wertz (Guardian Life", Head of Claims & Service), Mike Corrigan (Foundever COO Americas), Michelle Parks (Foundever Global COO), Eduardo Endo Gomes (Foundever COO). Yield/search still low (needs per-vertical filters: payer=claims ops, FS=payment ops, BPO=COO). Scaled 50-pull + email enrichment (~50cr) is the next step," per-vertical. Engine table (intent_score_bo) already live from Jul 13."""

2026-07-13,parent_grain_foundation,Parent_Signals_L2_seed,0,0,294.0,4706.0,"PARENT-GRAIN FOUNDATION (0 credits, the right-way gate): added parent_domain column to the 29-parent helper, populated the 24 ELIGIBLE parents with domains via filtered (seed_status=eligible) contiguous paste, left the 5 customer parents BLANK. This gates the paid enrichments by CONSTRUCTION (blank domain = enrichment skips the row), replacing the fragile per-column run_condition (which would not persist via automation - a real Clay quirk). Remaining chain (NOT yet done, high-risk live edit deferred to a careful focused pass): stand up Job Openings + leadership enrichments on the helper reading parent_domain, run on 24 (~96cr), add Lookup Single Row on Accounts->helper by parent_key, repoint intent_score hiring/leadership terms to the lookup, hide contract-grain enrichments. intent_score is the LIVE core the campaigns sit on - repoint must be an isolated tested edit, not rushed."

2026-07-13,enrichment_run,Parent_Signals_L2_seed - Job Openings (parent-grain hiring),~48,~48,342.0,4658.0,"PARENT-GRAIN HIRING ENRICHMENT built + run the RIGHT way: Company Job Openings (Waterfall, same 9 quality keywords as Accounts: CAHPS/member experience/Stars/quality improvement/HEDIS/workforce management/RTA/quality analyst/member services), Company Domain = parent_domain. Ran on the 24 eligible parents (~2cr/row = ~48cr); the 5 customer parents have BLANK parent_domain so they SKIPPED by construction (0 customer spend - this is the structural gate replacing the flaky run-condition). Verified values: Centene 28, Devoted 28, Cambia 30, Clover 4, CHPW 6, etc. This is the 4x-cheaper refresh surface (24 parents vs 98 contracts). CUTOVER NOT YET WIRED (see note): intent_score still reads the contract-grain Job Openings."

2026-07-14,cutover_wire,Accounts (Master) - intent_score parent-grain cutover,0,0,342.0,4658.0,"PARENT-GRAIN CUTOVER EXECUTED (0 credits, spec greenlight-22): (a) duplicated the CMS lookup on Accounts, repointed copy to Parent_Signals_L2_seed on parent_key Equals, renamed parent_hiring_lookup, ran all 98 (free internal lookup; eligible parents resolve, cvs/elevance rows No Record Found because helper keys are aetna/cvshealth - customers, harmless). (b) intent_score hiring term repointed via live {{ picker to Number({{parent_hiring_lookup}}?.record?.[Job Openings]) >= 3 ? 15 : 0; all other terms untouched. VERIFIED: customers all 0/excluded; Centene keeps +15 (25/35 unchanged); parent-grain hiring now reaches contracts whose contract-grain cells were blank (Clover 40->55 grade_lift, Cambia 20->35, VNS 0->15 in_motion). (c) contract-grain Job Openings HIDDEN (not deleted) - 98-row refresh retired, 24-parent surface is the refresh source (~4x cheaper). (d) helper table flipped Manual->Auto-run with Keep existing results (0 re-runs; eligible-only structural gate; per Clay docs there is no per-column time schedule - auto-run fires on new/changed rows). Also force-refreshed helper Lookup Multiple Rows so parent_intent_max reflects post-cutover scores (Centene 35, Clover/Devoted 55, Excellus 40, Cambia/Lumeris 35; customers 0). Leadership signal left at contract grain per audit."
2026-07-14,closed_loop_build,Parent_Signals_L2_seed + Contacts (Buying Committee),0,0,342.0,4658.0,"CLOSED LOOP BUILT (spec 18B, 0 credits): helper got outcome/writeback columns first_reply_date + meeting_booked_date (Date), opp_created (Checkbox), replies_realized + meetings_realized (Number, REALIZED-only fields), credits_spent_signals formula (eligible=2 else 0, current hiring cost per parent), cost_per_qualified_reply + cost_per_meeting formulas (credits/realized, blank until outcomes land - surfaced vs realized never blended). Contacts got parent_intent_lookup (Lookup Single Row -> helper on parent_key, ran 143 free) + parent_intent_now formula (Number(record.parent_intent_max)||0) + saved view Sequence Queue (In Motion) = parent_intent_now > 0 AND customer_exclude = FALSE AND Status = valid -> 70 contacts. Campaign-event writeback stays manual/war-room until campaigns launch (Draft = no events exist; Clay exposes no campaign events table to lookup). Campaigns UNTOUCHED (P1 34 / P2 24 Draft); Contacts send gate intact (send_ready HOLD, table Manual)."
2026-08-03,enrichment_run,"UK_FS_Committee_Contacts_v1.csv (WAVE1 slice, via Clay routines runs start)",~99 (Work Email ~1.1/row x62 + Enrich Person ~0.5/row x62); exec-pre-approved ~290,126.5,468.5,4531.5,"FS WAVE 1 ENRICHMENT (evt: fs-wave1-enrichment-2026-08-03#wave1-enrich, chain: to Exec_Decisions_Aug3.md item 7). Ran on the 62 real WAVE1 rows only (verified count matches roster; no WAVE2-EXCO-STRIKE/WAVE2-EU-HOLD/VERIFY-DIVISION-FIRST/OUT rows touched). Pre-run: clay workflows list checked (no existing UK/FS-specific enrichment workflow found; the 7 workflows present are Stars/ACD/WFM/Cost-Mandate motions, unrelated) -> used Clay-managed functions via clay routines runs start (real per-row inputs from the CSV, batched, not synthetic test values) instead of building a new workflow: Work Email (function:t_0thx4ovuPGp8sjH2hPP, Full Name/Company Domain/Company Name/LinkedIn URL per row) and Enrich Person (function:t_0thx4ohpCNT3KNijyVo, LinkedIn URL) for standard profile/title verification. Live balance before 72822.1, after 72695.6 (delta 126.5 actual). Results written as NEW columns only (work_email, work_email_status, enrich_person_title_verified, enrich_person_org_verified, enrich_person_linkedin_verified, enrich_person_status, enrichment_date, enrichment_evt); fs-v1.0 copy columns, wave_status, scope, critic_verdict untouched. 54/62 verified work emails found; 61/62 Enrich Person profile matches. 1 row (Jodie Thompson, TSB) has a corrupted/mojibake LinkedIn URL baked into the source CSV linkedin_url column, so her Enrich Person lookup errored (no valid LinkedIn/email input) though her Work Email still resolved via name+domain+company fallback; flagging that URL for a source-data fix, did not touch it here. 8 rows have no work_email (Christina Thomas Admiral; David Montgomery, Anna King, James Barnard at Aviva; Rishik Banerjee Barclays; Denise Wilson, Raymond Pettitt Virgin Money; George White TSB). NOTHING loaded to Lemlist/campaigns, no gate/campaign setting touched, no sends, no outreach. Real-row exclusion check (customer_exclude, DNC) is the next gate step per the launch chain and has NOT been run in this session."
