parent_org,source_type,fiscal_period,verbatim_quote,url,angle_line,retrieved_date
"Clover Health Holdings, Inc.",press,Stars 8-K (Oct 2025),"our business model can offset any effect from the Star rating",https://www.sec.gov/Archives/edgar/data/0001801170/000180117025000253/axex991xpressreleaseofthec.htm,Clover claims tech offsets the rating; the wedge is that CS measures still price PY2027 dollars regardless of Clover Assistant.,2026-07-01
Health Care Service Corporation,press,2026 Stars analysis (Oct 9 2025),"HCSC experienced an average decline of 0.30 Stars",https://www.healthscape.com/insights/early-look-2026-medicare-advantage-stars-ratings-stabilize-without-meaningful-improvement,HCSC's enrollment-weighted rating fell 0.30 and sits below 4.0 while it digests the Cigna Medicare book; 13.2% of membership shifted below the bonus line this cycle.,2026-07-01
Health Care Service Corporation,ratings_agency,AM Best affirmation (Jan 2026),"AM Best affirmed its Financial Strength Rating, or FSR, of A (Excellent)",https://www.nerdwallet.com/insurance/medicare/cigna-medicare-advantage-review,AM Best is actively rating the combined HCSC Medicare group post-acquisition; Stars-driven margin is the watched variable during integration.,2026-07-01
"Lifetime Healthcare, Inc. (Excellus)",press,2026 Stars analysis (Oct 9 2025),[paraphrase: ~35% of Excellus enrollment shifted from the 4-star tier to the 3-star tier this cycle],https://www.healthscape.com/insights/early-look-2026-medicare-advantage-stars-ratings-stabilize-without-meaningful-improvement,H3335 is a NEW-FALLER with roughly a third of membership newly out of bonus; the QBP loss started nine months ago and lands in their 2027 revenue.,2026-07-01
Blue Cross Blue Shield of Michigan,press,2026 Stars analysis (Oct 9 2025),[paraphrase: BCBS Michigan shifted 8.5% of membership into plans below 4 stars this cycle],https://www.healthscape.com/insights/early-look-2026-medicare-advantage-stars-ratings-stabilize-without-meaningful-improvement,Parent of Vermont Blue Advantage (H6898); fresh sub-4.0 membership shift with no public earnings pressure valve makes the QBP dollar figure the conversation opener.,2026-07-01
Medica Holding Company,press,MN market coverage (Oct 21 2025),"We share concerns about rising costs and the sustainability of federal reimbursement",https://www.startribune.com/why-medicare-coverage-is-getting-more-expensive-in-minnesota-next-year/601497778,Medica publicly named reimbursement strain while Minnesota MA premiums jump and competitors exit; H8889's QBP gap is recoverable margin in a market where margin is the whole story.,2026-07-01
Medica Holding Company,press,UCare acquisition (Nov 17 2025 closing Q1 2026),"preserve access to coverage for Minnesota's most vulnerable members",https://bringmethenews.com/minnesota-business/health-insurer-ucare-shutting-down-to-be-acquired-by-medica,Medica is absorbing UCare's book after UCare's ~$500M loss and MA exit; a member migration of that size is exactly when call-center and complaints measures break.,2026-07-01
Visiting Nurse Service of New York,press,NYSDOH quality awards (Jan 2026),"the highest possible 5-star Overall Quality Rating",https://www.vnshealthplans.org/news/vns-health-total-again-tops-new-yorks-medicaid-advantage-plus-plans/,Quality-pride wedge: state 5-star quality brand vs a CMS 3.5 on H5549 where CS sits at 3.0 and 80% of the forgone QBP is addressable.,2026-07-01
"Cambia Health Solutions, Inc.",press,OR MA plan exits (Oct 2024),"many payers are evaluating their Medicare Advantage business",https://www.newsweek.com/thousands-seniors-lose-medicare-coverage-after-25-percent-plans-leave-oregon-1970739,Regence cut Oregon MA HMO plans citing plan performance; STALE (>12 months) so background only not the opener.,2026-07-01
PacificSource,press,OR MA plan exits (Oct 2024),[paraphrase: PacificSource ended MA plans in the Portland metro; one-quote-per-source limit with the Cambia row],https://www.newsweek.com/thousands-seniors-lose-medicare-coverage-after-25-percent-plans-leave-oregon-1970739,Same market retrenchment context and same staleness caveat; H3864's addressable stands on the QBP math alone.,2026-07-01
Hawaii Medical Service Association,press,2024 Annual Report (pub. 2025),"significant operating losses in our government lines of business, Medicare and Medicaid",https://www.hmsa.com/about/annual-report/,HMSA's own annual report names Medicare operating losses; the H3832 QBP gap is a named contributor with a named fix.,2026-07-01
Hawaii Medical Service Association,rate_filing,Audited statutory financials CY2024 (issued May 2025),"associated with its QUEST and Medicare lines of business",https://medquest.hawaii.gov/content/dam/formsanddocuments/resources/reports/managed-care-organization/audited-financial-reports/HMSA%20CY%202024.pdf,Audited statements filed with the state corroborate the government-lines loss; second independent source makes the claim safe in front of finance.,2026-07-01
"Devoted Health, Inc.",press,Series F + F-Prime (Nov 2025 / Jan 2026),"raised $366 million across two tranches in late 2025 and early 2026",https://sacra.com/c/devoted-health/,Fresh capital and 71% annual membership growth mean budget exists and ops are straining; growth-strain variant not Stars-distress.,2026-07-01
"Devoted Health, Inc.",press,2026 growth release (Jan 2026),"serving members across 29 states",https://www.devoted.com/resources/2026-growth/,Devoted's brand IS the service experience; H2923 at CS 2.7 with 100% of its gap addressable is a brand-promise contradiction. 12 Devoted contracts in universe (~$37M addressable) = whole-parent strike-plan candidate.,2026-07-01
"Zing Health Consolidator, Inc",press,checked (Jul 2026),,,Swept press and public sources; nothing found. H4624 at 2.5 stars with $21.9M addressable stands on QBP math alone; consider a state DOI filing pull as follow-up.,2026-07-01
Imperial Health Plan of California,press,US News award release (Oct 30 2025),"recognizes Imperial's excellence in delivering high-quality Medicare Advantage coverage across California",https://www.prnewswire.com/news-releases/imperial-health-plan-of-california-inc-hmo-hmo-snp-named-one-of-the-best-medicare-advantage-plans-in-california-by-us-news--world-report-302595922.html,Quality-pride wedge: public quality accolades vs CS 2.8 on H5496 where 100% of a $25.4M gap is addressable; release media contact is their VP of Member Experience = direct cx entry.,2026-07-01
Horizon Mutual Holdings Inc,press,universe check (Jul 2026),,,EXIT MOTION: Horizon has zero sub-4.0 contracts in the 2026 universe (H0885 and H8298 both graduated). Confirmed absent from canonical file.,2026-07-01
BlueCross BlueShield of Alabama,press,universe check (Jul 2026),,,NOT A FIT: H0104 computes to 0.00 addressable (CS 4.6 / Clin 2.8; gap entirely clinical). H1347 also BCBS AL. Both already in non-fit bucket regardless of financial signal.,2026-07-01
