"id","run_date","action","owner","due","due_basis","source_type","source_ref","source_date","evidence","confidence","status"
"pmo-2026-08-31-011","2026-08-31","Tell Derek the side quest team wants working time with him to capture his vision for the AI adoption framework.","Jen East","none stated","none","otter","AI Change Management Side Quest Kickoff lDLa-zoWjKwv2caKHIDyUzJuXXs","2026-08-18","I'll let him know that I kind of put him on, you know, point for you guys, and I'm sure he'll be fine with that.","medium","new"
"pmo-2026-08-31-012","2026-08-31","Talk with Tyler Voegele about whether he takes the side quest lead or she stays on as advisor.","Kathryn Anderson","none stated","none","otter","AI Change Management Side Quest Kickoff lDLa-zoWjKwv2caKHIDyUzJuXXs","2026-08-18","He and I are going to have a chat intentionally about this.","high","new"
"pmo-2026-08-31-013","2026-08-31","Build the AI adoption tracking dashboards and technical deliverables for the side quest before year end.","Dallas","2026-12-31","explicit","otter","AI Change Management Side Quest Kickoff lDLa-zoWjKwv2caKHIDyUzJuXXs","2026-08-18","Dallas is going to be really our guru on the technical side to build some dashboards and tracking that we can use to then fire or trigger some of our intervention methodology.","high","new"
"pmo-2026-08-31-014","2026-08-31","Set Nate and Jack up in Lemlist, white-glove for Nate, and tell the team when it is ready to run.","Dallas","none stated","none","otter","Sales Tooling and GTM Strategy Meeting xKgtz9ivbKW3fCWwdihipUgU00E","2026-08-18","once I get things going on Limless and get word that we're good to go. I'll ping y'all, and and we'll go.","high","new"
"pmo-2026-08-31-015","2026-08-31","Send Naveen a list of workflow automation use cases to justify a workflow builder purchase.","Jack","none stated","none","otter","Sales Tooling and GTM Strategy Meeting xKgtz9ivbKW3fCWwdihipUgU00E","2026-08-18","if you can come up with a list of things that you would like to do through an event, if you can all the all the examples that you can think of, can you just send that to me?","high","new"
"pmo-2026-08-31-016","2026-08-31","Pull his best and worst emails and LinkedIn messages, plus Memory Blue's, and share them for the messaging study.","Nate","none stated","none","otter","Sales Tooling and GTM Strategy Meeting xKgtz9ivbKW3fCWwdihipUgU00E","2026-08-18","I'll get with Memory Blue, Aidan and Tyler, and get ones that have worked best for them as well. I can share those","high","new"
"pmo-2026-08-31-017","2026-08-31","Touch base with Genna on her Clay table that identifies VITOs on open opportunities and help build it out.","Dallas","none stated","none","email","Fw: VITO engagement, Naveen Thilagan","2026-08-19","Can we look into Salesforce for these opportunities and maybe use Clay to identify the VITOs on these opps?","medium","new"
"pmo-2026-08-31-018","2026-08-31","Format the VITO engagement metrics as a standalone element of the pipeline report.","Genna","none stated","none","email","VITO engagement, John Norton","2026-08-19","I wonder if the above metrics can be formatting as a standalone element as this was pretty manual work out of the report.","medium","new"
"pmo-2026-08-31-019","2026-08-31","Add a VITO or budget-owner field in pre-pipeline that maps to opportunities, working with Genna.","Haresh","none stated","none","email","Re: VITO engagement, Haresh Gangwani","2026-08-19","We'll also work with Genna on making sure we have a field in pre-pipeline that get's mapped to opportunities.","medium","new"
"pmo-2026-08-31-020","2026-08-31","Send every new AI tool request, with the terms of service link and intended use, to Intradiem Contracts for review before finalizing.","Dallas","none stated","none","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","one of y'all will just send over to Intradium contracts at Intradium the link to it and what we're using it for.","high","new"
"pmo-2026-08-31-021","2026-08-31","Finish the Contact Movement Intelligence build over the next couple of weeks.","Genna","2026-09-04","inferred","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","The Contact movement intelligence is something I will finish over the course of the next couple weeks.","high","new"
"pmo-2026-08-31-022","2026-08-31","Get the percentage of the DWO team graded and using the AI role play coaching tool and report it.","Genna","none stated","none","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","I need to talk to a couple people to to actually get the percentage of who's being graded and and using the coaching tool for that","medium","new"
"pmo-2026-08-31-023","2026-08-31","Reconfigure the SharePoint site overnight next week so Greenlight can ingest it.","Grey","2026-08-28","inferred","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","next week I have scheduled in the evening. I'm going to do the full reconfigure on our on the SharePoint site.","medium","new"
"pmo-2026-08-31-024","2026-08-31","Push the Boo project services to staging by the end of next week for the UHG pilot starting Sep 23.","Adam","2026-08-28","inferred","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","So hoping that's going to be done at the end of next week, and then we'll be able to start deploying some of the AI generated code out to that environment.","medium","new"
"pmo-2026-08-31-025","2026-08-31","Meet Jason Jones in the next two weeks to get the rulebook tool hosted in Azure.","Matt","2026-09-04","inferred","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","I probably in the next two weeks, want to meet Jason with you and just make sure I get it hosted.","medium","new"
"pmo-2026-08-31-026","2026-08-31","Decide whether adoption reporting moves to the agent level after checking with Scott and the SM team.","Matt","2026-09-04","inferred","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","Going to talk to Scott. Going to talk to everyone else over the next two weeks and try to make that decision if that's the way we just want to move forward.","medium","new"
"pmo-2026-08-31-027","2026-08-31","Finalize the AI usage and adoption metrics baseline with people leaders.","Krishnan","2026-08-31","explicit","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","we have an ETA of 831 from the people leaders for finalizing the metrics that we want to baseline","high","new"
"pmo-2026-08-31-028","2026-08-31","Meet Jason Jones next Wednesday to write the instruction set for the universal HR bot.","Jason Dowden","2026-08-26","inferred","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","So we're going to combine those agents and make a universal kind of HR bot. And so we're meeting next Wednesday to work out the instructions set for it","medium","new"
"pmo-2026-08-31-029","2026-08-31","Release the Slack Greenlight agent and announce it at the town hall in two weeks.","Jason Dowden","2026-09-04","inferred","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","We're going to release this pre all hands, and so we're going to share it in the town hall in two weeks.","medium","new"
"pmo-2026-08-31-030","2026-08-31","Notify the champions in Slack when the Greenlight desktop app and enhancements are ready to pilot.","Jason Dowden","none stated","none","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","I'll make sure Jason does that.","medium","new"
"pmo-2026-08-31-031","2026-08-31","Test the Greenlight desktop app and enhancements and post feedback in the champions channel before the all hands.","Dallas","2026-09-16","inferred","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","just start utilizing it and use the our champions chat room to let him know what issues you're having, what problems you're running into","medium","new"
"pmo-2026-08-31-032","2026-08-31","Get Kiro usage details from Krishnan for the all hands AI presentation.","Jason Dowden","none stated","none","otter","AI Champions Meeting Update s6Sf4oAKtZ7-ri_zZRsg5PPs50s","2026-08-21","Christian and I'll probably reach out to you to get some information about Kiro because we want to make it all inclusive.","medium","new"
"pmo-2026-08-31-033","2026-08-31","Bring back the campaigns and use cases marketing wants Dallas to set up and automate in Clay.","Carter","none stated","none","otter","GTM and Marketing Ops Sync QAKJEuC7nmezhIqDb2rPeoUDY1M","2026-08-21","So maybe more campaigns that we could bring to you that we could set up and automate.","medium","new"
"pmo-2026-08-31-034","2026-08-31","Talk to Chris about OKRs and finalize them by the end of the week.","Naveen","2026-08-28","inferred","otter","GTM Strategy and Tooling Alignment _tGdAhZ5xzAiF5gwO4QyhvpQwU0","2026-08-24","I'm going to talk to him about it tomorrow, and we can figure out OKRs by the end of the week, if that's okay with you.","high","new"
"pmo-2026-08-31-035","2026-08-31","Send the Clay website intent-tracking snippet and setup details to Carter and Sierra for the WordPress site.","Dallas","none stated","none","otter","GTM Strategy and Tooling Alignment _tGdAhZ5xzAiF5gwO4QyhvpQwU0","2026-08-24","I guarantee you, I don't have the access to be able to to add these things on, but I can send this over to who does?","medium","new"
"pmo-2026-08-31-036","2026-08-31","Draft the back-office optimizer project plan with Naveen this week ahead of the next alignment session.","Dallas","2026-08-28","inferred","otter","Back Office Lead Expansion Strategy xtgffRJp6IXdeO3vi19qY5sfwdA","2026-08-24","me me and Dallas can and Nate feels available tomorrow. We can we can start thinking about a project plan, and then by the end of the week","medium","new"
"pmo-2026-08-31-037","2026-08-31","Provide vertical-specific email and LinkedIn message examples for back-office optimizer outreach in early September.","Ellen","2026-09-04","inferred","otter","Back Office Lead Expansion Strategy xtgffRJp6IXdeO3vi19qY5sfwdA","2026-08-24","if you all can give us like content, okay. Um, email should look like this for each vertical. LinkedIn message should look like this for each vertical.","medium","new"
"pmo-2026-08-31-038","2026-08-31","Set up a new pipeline channel for GTM engineering leads and take the approach to the pipeline council.","Naveen","none stated","none","otter","Back Office Lead Expansion Strategy xtgffRJp6IXdeO3vi19qY5sfwdA","2026-08-24","we should create like a new channel. Use create this as a new channel, and then if we get opportunities through this, we sort of start tracking the opportunities we get through this channel.","medium","new"
"pmo-2026-08-31-039","2026-08-31","Reconvene the back-office group early to mid the week of Sep 7 once the org charts and maps are shared.","unassigned","2026-09-09","inferred","otter","Back Office Lead Expansion Strategy xtgffRJp6IXdeO3vi19qY5sfwdA","2026-08-24","let's target the week after next, or like early to mid that week, if we can find time then.","medium","new"
"pmo-2026-08-31-040","2026-08-31","Vet the newly identified back-office contacts so none touch existing relationships before outreach starts.","unassigned","none stated","none","otter","Back Office Lead Expansion Strategy xtgffRJp6IXdeO3vi19qY5sfwdA","2026-08-24","Right before we get all this started, make sure that these are net new people that don't touch our existing people.","medium","new"
"pmo-2026-08-31-041","2026-08-31","Launch multi-channel sequences to the roughly 300 identified back-office contacts by the all hands.","Dallas","2026-09-16","inferred","otter","Back Office Lead Expansion Strategy xtgffRJp6IXdeO3vi19qY5sfwdA","2026-08-24","Is it unreasonable to target at least launching a multi-channel sequence for these 300 contacts we have identified by the all hands?","medium","new"
"pmo-2026-08-31-042","2026-08-31","Run the 6sense CRM enrichment workflows before the credits expire Aug 30.","Sierra","2026-08-30","explicit","otter","Six Sense Credits and Workflow Sync 8YQ2Pt-eWVpeRpOKeBbxPyop11U","2026-08-24","just send them to me, and I'll get these processed at some point this week in between travel.","high","new"
"pmo-2026-08-31-043","2026-08-31","Confirm with Naveen how the roughly 2,000 Clay webinar contacts should sync into Salesforce, then run the sync.","Dallas","none stated","none","otter","Six Sense Credits and Workflow Sync 8YQ2Pt-eWVpeRpOKeBbxPyop11U","2026-08-24","It's like 2000 something new people to add and in sync in Salesforce. So I'm just waiting on my one-on-one with Naveen to see how she how he wants me to do that.","medium","new"
"pmo-2026-08-31-044","2026-08-31","Resend the pipeline report to attendees before the next council meeting.","Genna","2026-09-10","inferred","otter","Pipeline Council Meeting Summary DPymH0p56v4Rz_J-2NZxHmC-yYU","2026-08-24","I'll resend it next time, especially if we keep pushing the meeting. I'll resend it for everyone to get at the top of their box.","medium","new"
"pmo-2026-08-31-045","2026-08-31","Send around the final front-office versus back-office A/B test results.","Sierra","none stated","none","otter","Pipeline Council Meeting Summary DPymH0p56v4Rz_J-2NZxHmC-yYU","2026-08-24","I didn't pull the results for that specifically, but I can send them around, okay.","high","new"
"pmo-2026-08-31-046","2026-08-31","Share the Claude-built back-office persona breakdowns by vertical with the council.","Nate","none stated","none","otter","Pipeline Council Meeting Summary DPymH0p56v4Rz_J-2NZxHmC-yYU","2026-08-24","I've got them built out again via Claude, broken down between finance and accounting, insurance and healthcare, supply chain again, banking and financial services. So I can share that with you","high","new"
"pmo-2026-08-31-047","2026-08-31","Separate Memory Blue from Nate and Jack's results in the cold outreach reporting.","Genna","none stated","none","otter","Pipeline Council Meeting Summary DPymH0p56v4Rz_J-2NZxHmC-yYU","2026-08-24","all in the background of the data. I can just I'll just separate it out.","medium","new"
"pmo-2026-08-31-048","2026-08-31","Plan the 3xG back-office webinar with an assessment call to action for mid Q4.","Ellen","none stated","none","otter","Pipeline Council Meeting Summary DPymH0p56v4Rz_J-2NZxHmC-yYU","2026-08-24","Yeah, I said mid Q4. So yeah, we set that expectation.","medium","new"
"pmo-2026-08-31-049","2026-08-31","Provide an index of what is included in each spend bucket on the marketing dashboard.","Genna","none stated","none","otter","Pipeline Council Meeting Summary DPymH0p56v4Rz_J-2NZxHmC-yYU","2026-08-24","just just a little a little just a index of of of what's included in each bucket. That way, we know.","medium","new"
"pmo-2026-08-31-050","2026-08-31","Bring 2027 budget recommendations drawn from 18 months of channel data into John and Tom's budget.","unassigned","none stated","none","otter","Pipeline Council Meeting Summary DPymH0p56v4Rz_J-2NZxHmC-yYU","2026-08-24","what budget recommendations we would make in 27 based on this data that would be different than previous years.","medium","new"
"pmo-2026-08-31-051","2026-08-31","Bring GTM engineering results to the Sep 10 pipeline council, or meet Melissa separately before it.","Dallas","2026-09-10","explicit","calendar","Pipeline Council (August)","2026-08-24","Starting in September, we will want to add in results from product lead growth and hear from your team about results.","high","new"
"pmo-2026-08-31-052","2026-08-31","Put a calendar reminder to decide on Lemlist renewal a month before the notice window opens.","unassigned","2027-05-24","inferred","email","Re: lemlist review and approval by Legal / Contracts team, Kathryn Anderson","2026-08-24","My recommendation is to put a calendar tickler on to ensure that we decide if we want to continue the service a month before the 'notice window' opens (in ten months).","medium","new"
"pmo-2026-08-31-053","2026-08-31","Price an Atlanta option and a Charleston or other city option for the product offsite within days so travel can be booked next week.","Savita","2026-08-27","inferred","otter","AI Tools and Offsite Planning FBQ3qCUNcKVuDlEQ3J3AUeFTQwA","2026-08-25","Let's try to price out an Atlanta option and a you know Charleston or some some other city option in the next couple days, and then with the goal of kind of a go ahead for booking by next week.","medium","new"
"pmo-2026-08-31-054","2026-08-31","Share the strategic pre-mortem Claude skill with Sachin and the product team.","Dallas","none stated","none","otter","AI Tools and Offsite Planning FBQ3qCUNcKVuDlEQ3J3AUeFTQwA","2026-08-25","yeah, yeah. If you don't mind sharing that skill out, that'd be great.","high","new"
"pmo-2026-08-31-055","2026-08-31","Share the coaching SME Greenlight agent with the internal team before making it public.","Sachin","none stated","none","otter","AI Tools and Offsite Planning FBQ3qCUNcKVuDlEQ3J3AUeFTQwA","2026-08-25","share it with us before making it public?","medium","new"
"pmo-2026-08-31-056","2026-08-31","Ping the ZoomInfo team in Slack, add Naveen to the channel, and set the next meeting with the sales side.","Dallas","none stated","none","otter","ZoomInfo GTM Strategy Discussion LvEyhselHlTKDWQGDfe5aBhcjzg","2026-08-26","I will ping you and Connor in the Slack channel, and I'll add Navin to that too.","high","new"
"pmo-2026-08-31-057","2026-08-31","Take the ZoomInfo conversation to Genna.","Naveen","none stated","none","otter","ZoomInfo GTM Strategy Discussion LvEyhselHlTKDWQGDfe5aBhcjzg","2026-08-26","let's let's take it with Jenna. Let's have a good conversation with her.","medium","new"
"pmo-2026-08-31-058","2026-08-31","Put together preliminary ZoomInfo pricing for Naveen to review.","Connor MacRae","none stated","none","email","Intradiem + ZoomInfo - Overview Attached and Next Steps, Connor MacRae","2026-08-26","We'll put together some preliminary pricing for Naveen to review.","high","new"
"pmo-2026-08-31-059","2026-08-31","Tell Connor which BDRs and AEs to include in the ZoomInfo trial once the revenue team is looped in.","Dallas","none stated","none","email","Intradiem + ZoomInfo - Overview Attached and Next Steps, Connor MacRae","2026-08-26","Dallas, let us know which BDRs and AEs you'd like included in a trial so we can get them set up.","medium","new"
"pmo-2026-08-31-060","2026-08-31","Reach out to Chris and set up a recurring monthly one-on-one.","Dallas","none stated","none","otter","Sales Strategy and Tooling Discussion dGFD67Jf-qGNJn7C5mw2yI9j7W0","2026-08-26","I'd say just reach out and then set it up. Whatever. I think you can decide what how you want to run it, man.","high","new"
"pmo-2026-08-31-061","2026-08-31","Send Dallas the Parloa and AI-agent interoperability materials.","Naveen","none stated","none","otter","Sales Strategy and Tooling Discussion dGFD67Jf-qGNJn7C5mw2yI9j7W0","2026-08-26","So I'm going to send you some material, some some beginning material to take a look at that.","high","new"
"pmo-2026-08-31-062","2026-08-31","Review the Parloa materials and help define how the platform integrates with AI agents.","Dallas","none stated","none","otter","Sales Strategy and Tooling Discussion dGFD67Jf-qGNJn7C5mw2yI9j7W0","2026-08-26","If you can help us answer this question, that would be great.","medium","new"
"pmo-2026-08-31-063","2026-08-31","Talk to Chris about the ZoomInfo and launch event investments.","Naveen","none stated","none","otter","Sales Strategy and Tooling Discussion dGFD67Jf-qGNJn7C5mw2yI9j7W0","2026-08-26","So what I'm gonna do is have a talk with Chris. It needs this needs to go through Chris, and a lot of it needs to go through Chris.","medium","new"
"pmo-2026-08-31-064","2026-08-31","Tell Frank what else is needed from Jeremy at 3XG to run digital outreach campaigns.","Dallas","none stated","none","email","Re: UPT Attack Accounts, Naveen Thilagan","2026-08-28","@Dallas Andrews could you let Frank know what else we need from Jeremy at 3XG (partner) to run digital outreach campaigns ?","high","new"
"pmo-2026-08-31-065","2026-08-31","Get Chris to approve the roughly $480 Lemlist domain purchase today.","Naveen","2026-08-31","explicit","otter","Lemlist Email Slot and Domain Issues k7xxfbY7D482Z9fONnMT9TcCzR4","2026-08-31","I'll get the 500 bucks. No problems. I'll speak to Chris in a little bit.","high","new"
"pmo-2026-08-31-066","2026-08-31","Get the four sending domains purchased through Lemlist and assign the emails and phone numbers to Nate and Jack.","Dallas","none stated","none","email","Additional domains/emails, Dallas Andrews","2026-08-31","With the 4 slots we already purchased, to acquire the 4 additional email domains to use would be $40/month or $480 for the year. I've reached out to Luis about this already","high","new"
"pmo-2026-08-31-067","2026-08-31","Review the Lemlist to Salesforce integration docs and get Eric to connect it, with field mapping agreed, by Sep 10.","Genna","2026-09-10","explicit","otter","GTM Strategy and Tooling Update S3x2n6T18Uj6D9L0VWVALzl7KG4","2026-08-31","yes, we can get it done by the 10th. I just don't know if we'll have reporting built out on for my plan council by the 10th.","high","new"
"pmo-2026-08-31-068","2026-08-31","Follow up with Genna on the Lemlist to Salesforce connection after pinging Eric.","Dallas","none stated","none","otter","GTM Strategy and Tooling Update S3x2n6T18Uj6D9L0VWVALzl7KG4","2026-08-31","I just pinged Eric too, just to kind of get the ball rolling on that ask. So I just asked what he needed from me","medium","new"
"pmo-2026-08-31-069","2026-08-31","Assess 6sense usage with Sierra this week, come back with how to get more out of it, and book time with Dallas to compare the tools.","Carter","2026-09-04","inferred","otter","GTM Strategy and Tooling Update S3x2n6T18Uj6D9L0VWVALzl7KG4","2026-08-31","we'll Sierra and I get together this week and just kind of assess Six Sense","high","new"
"pmo-2026-08-31-070","2026-08-31","Have the nine campaigns, including two partner campaigns, running in Lemlist by the all hands.","Dallas","2026-09-14","inferred","otter","GTM Strategy and Tooling Update S3x2n6T18Uj6D9L0VWVALzl7KG4","2026-08-31","the engine is running in the next two weeks with Leblist for all of these strategies.","medium","new"
"pmo-2026-08-31-071","2026-08-31","Ping KJ today about Sculpt conference approval and report back to Naveen.","Nate","2026-08-31","explicit","otter","GTM Strategy and Tooling Update S3x2n6T18Uj6D9L0VWVALzl7KG4","2026-08-31","Yeah, I'll ping KJ today and then reach out to you and see what it says.","high","new"
"pmo-2026-08-31-072","2026-08-31","Take the Sculpt conference request to Ellen with Carter.","Sierra","none stated","none","otter","GTM Strategy and Tooling Update S3x2n6T18Uj6D9L0VWVALzl7KG4","2026-08-31","Yeah, we can Carter and I can bring this to Ellen and see what she says.","high","new"
"pmo-2026-08-31-073","2026-08-31","Email Mopi today about hotel recommendations or a room block for Sculpt.","Naveen","2026-08-31","explicit","otter","GTM Strategy and Tooling Update S3x2n6T18Uj6D9L0VWVALzl7KG4","2026-08-31","I'm gonna email him today to find out if he recommends any other hotels.","high","new"
"pmo-2026-08-31-074","2026-08-31","Finish Nate's six-account back-office maps and add them to Sales Navigator.","Dallas","none stated","none","otter","GTM Strategy and Tooling Update S3x2n6T18Uj6D9L0VWVALzl7KG4","2026-08-31","I'm almost done with yours. The one six you sent me earlier on Friday now, and you'll be able to see that once I'm done adding it to SalesNet.","high","new"
"pmo-2026-08-31-075","2026-08-31","Send Dallas the roughly ten anchor accounts for the new-logo VITO campaign.","Nate","none stated","none","otter","GTM Strategy and Tooling Update S3x2n6T18Uj6D9L0VWVALzl7KG4","2026-08-31","I have the accounts like the anchor accounts, the larger accounts that I would definitely start with, and I have some in mind.","low","new"
"pmo-2026-08-31-076","2026-08-31","Run a pilot campaign on 5 to 10 partner pre-pipeline accounts and measure conversion against the 45-day and 25% benchmarks.","Dallas","none stated","none","otter","GTM Engineering and Partner Strategy ZblCEtsPmbbMhP33wIjI7mNU7i4","2026-08-31","Let's do a prototype, a pilot with them, and to see what we can get as far as numbers and speed perspective.","high","new"
"pmo-2026-08-31-077","2026-08-31","Share the Salesforce pre-pipeline account list with Dallas and scrub the 3xG-sensitive data before use.","Frank","none stated","none","otter","GTM Engineering and Partner Strategy ZblCEtsPmbbMhP33wIjI7mNU7i4","2026-08-31","Three XG does need to be careful with sharing this info, so we'll need to kind of scrub them out.","medium","new"
"pmo-2026-08-31-078","2026-08-31","Build the partner sequences in Lemlist and Clay and bring messaging ideas for Frank to react to.","Dallas","none stated","none","otter","GTM Engineering and Partner Strategy ZblCEtsPmbbMhP33wIjI7mNU7i4","2026-08-31","I'll come with with with some ideas and some messaging whenever we have something built out.","medium","new"
"pmo-2026-08-31-079","2026-08-31","Walk Dallas through the 3xG partner account spreadsheet, including licensing, seat counts, and the operational visualizer accounts, at the Sep 1 list review.","Frank","2026-09-01","explicit","otter","GTM Engineering and Partner Strategy ZblCEtsPmbbMhP33wIjI7mNU7i4","2026-08-31","We'll probably need like 30 minutes to walk through the file together, okay? Just so that it's the the info is a little bit unstructured","high","new"
"pmo-2026-08-31-080","2026-08-31","Bring the campaign framework and lead the new-campaign build-out discussion at the Sep 3 GTM Campaign Alignment meeting.","Dallas","2026-09-03","explicit","calendar","GTM Campaign Alignment Meeting","2026-09-03","If anyone has a campaign framework you are currently working with, please provide to this team so we can be consistent as we bring new campaign ideas to the table.","medium","new"
"pmo-2026-08-31-081","2026-08-31","Send the all hands session slides back to Chelsea by September 4, cc Rachel, and record the demo in Zoom.","Naveen","2026-09-04","explicit","email","FW: All Hands AI Session, Naveen Thilagan","2026-08-31","Please send them back by September 4th if possible and cc Rachel.","high","new"
"pmo-2026-08-31-082","2026-08-31","Complete the overdue required 5Mins courses by the reset due date.","Dallas","2026-09-30","explicit","email","RE: Required Courses Past Due, Keith Kennedy","2026-08-31","The due dates have been reset to 9/30.","medium","new"
"pmo-2026-08-31-083","2026-08-31","Develop the read-only action extraction agent for the AI enabled PMO goal.","Dallas","2026-12-31","inferred","monday","AI enabled PMO 12664120782","2026-08-17","Develop an agent that ingests notes, email, calendar, and project records to extract action items with owners and dates, starting read only to prove extraction accuracy","medium","new"
"pmo-2026-08-31-084","2026-08-31","Stand up the PM as a builder prototyping program for the product managers this quarter.","Dallas","2026-09-30","inferred","monday","AI enabled prototyping- PM as a builder program 12664083282","2026-08-17","Establish a program equipping product managers to ship working prototypes with AI assisted development, replacing the written spec as the primary decision artifact","medium","new"
"pmo-2026-08-31-085","2026-08-31","Move sales enablement content from static PPT to interactive HTML this quarter.","Dallas","2026-09-30","inferred","monday","Interactive sales enablement through AI 12746065434","2026-08-21","Transition Intradiem HTML interactive content for Sales enablement from Static PPT content","medium","new"
"pmo-2026-09-02-001","2026-09-02","Create the shared partner account briefs project with its two skills and walk Frank through setting it up once he is back from picking up his daughter.","Dallas","2026-09-01","inferred","otter","AI Sales and Marketing Automation 4VcaaLqRqGgZNPwNaNvH2nHW85U","2026-09-01","I'll do that picking up my daughter at 230, and then when I get back, I'll I'll do that and create that project, share it over","medium","new"
"pmo-2026-09-02-002","2026-09-02","Develop the visual format for the account brief and one-pager documents and turn it into a skill once Frank has weighed in.","Dallas","none stated","none","otter","AI Sales and Marketing Automation 4VcaaLqRqGgZNPwNaNvH2nHW85U","2026-09-01","I'll start working on how these one pagers or these documents that it creates, these briefs for the for these accounts, like what's looked like, and I'll start sharing that with you too.","medium","new"
"pmo-2026-09-02-003","2026-09-02","Prepare a DWO one-pager or other follow-up deliverable tailored to the problems the account brief uncovers.","Dallas","none stated","none","otter","AI Sales and Marketing Automation 4VcaaLqRqGgZNPwNaNvH2nHW85U","2026-09-01","Sure. Yeah, and it would be based on what it uncovered, right? So that the engine that I built gives you specific stuff per account.","low","new"
"pmo-2026-09-03-001","2026-09-03","Send Naveen the current materials and progress made on the AI Champions product goals.","Dallas","none stated","none","otter","AI GTM Orchestration and Demo Planning Ad3FhfPMQQyzVNqwLBg_RTh31Q4","2026-09-02","I'm just I'm I'm in here figuring out. I'll send you what I have so far.","high","new"
