account,domain,seat,name,title,linkedin_url,country,start_date,wave_number,wave_status,status,opener_line,contract_line,vm_hook,voice_script,critic_verdict,prompt_version
Jet2,jet2.com,Cust Operations/CX,Louise Smith,"Head of Customer Operations Forecasting, Planning & MI",https://www.linkedin.com/in/louise-smith-924ba574/,United Kingdom,2023-12-01,1,drafted,NOT LOADED - pending DNC gate,"Disruption is the forecast-breaker, the one input that turns a clean staffing model into a queue, and this July delivered the busiest day of flying Europe has ever recorded.","A forecast miss during a disrupted week keeps a six year tail, because every claim that queue delayed can keep arriving until 2032.","it's about the note I sent on the three hour mark, and the forecast it breaks","Hi Louise, it's Jack Ohagan. Every staffing model survives until disruption, and this summer is stress-testing all of them at once. The interesting gap is between the ops picture updating live and the workforce plan updating next cycle. How close together are those two loops for you?",PASS (fixed v1.1),airlines-v1.1
Jet2,jet2.com,Cust Operations/CX,Louise Smith,"Head of Forecasting, Planning & MI- Customer Contact",https://www.linkedin.com/in/louise-smith-3567ab274/,United Kingdom,2022-04-01,,,DUPLICATE-SUSPECT of Louise Smith (verify current title) - NOT LOADED - pending DNC gate,,,,,,
Jet2,jet2.com,Ground/Airport Ops,Lee Davies,Director of Ground Operations Overseas Delivery,https://www.linkedin.com/in/lee-davies-140a7a84/,United Kingdom,2026-05-01,1,drafted,NOT LOADED - pending DNC gate,"Overseas stations are where a delay compounds quietest, and under the compensation rules a slip past three hours abroad costs exactly what it costs at home.","An overseas station's bad week generates claims for six years, handled by teams thousands of miles from the stand where it started.","it's about the note I sent on the three hour mark, at the overseas stations","Hi Lee, it's Jack Ohagan. Overseas delivery means owning the stations where a slipping turn is hardest to see and exactly as expensive as one at home. The stations that stay clean can pull people to a problem in minutes. How much of that happens systematically versus a duty manager improvising?",PASS,airlines-v1.0
Jet2,jet2.com,Ground/Airport Ops,Dan Best,"Head of Ground Operations  - Strategy, Development and Support",https://www.linkedin.com/in/dan-best-86537b25/,United Kingdom,2026-05-01,1,drafted,NOT LOADED - pending DNC gate,"Turnaround design has quietly become exposure design, because the plan's buffer minutes are now the same minutes the compensation clock prices once an arrival crosses three hours.","Strategy horizons and claims windows now match, six years, which is an odd symmetry between planning and liability.","it's about the note I sent on the three hour mark, and designing turnarounds against it","Hi Dan, it's Jack Ohagan. Turnaround design is exposure design now, the three hour rule priced every minute of buffer, and the question that interests me is how fast the ground workforce can reshape when the design assumptions break mid-morning. How systematic is that reshaping today?",PASS (opener inverted v1.2),airlines-v1.2
Jet2,jet2.com,Ground/Airport Ops,Ben Spencer,Director of Ground Operations UK,https://www.linkedin.com/in/ben-spencer-99675166/,United Kingdom,2026-05-01,1,drafted,NOT LOADED - pending DNC gate,"On a bad morning the stations that stay out of trouble are the ones that can re-shuffle people in minutes rather than shifts, because a handful of ground minutes either side of the three hour mark decides whether an arrival is free or five figures.","A station's summer keeps billing for six years after it ends, which makes ground minutes one of the longest-lived numbers in the operation.","it's about the note I sent on the three hour mark, and the ground minutes that decide it","Hi Ben, it's Jack Ohagan. Ground minutes are priced now, a few either side of three hours can be five figures on one narrowbody, and the stations that stay ahead can re-shuffle people in minutes rather than shifts. How much live visibility do you get of a turn starting to slip?",PASS (opener inverted v1.2),airlines-v1.2
Jet2,jet2.com,Resource Planning/WFM,Dom Pearson FInstLM MCMI,"Director of Strategic Resource, Planning and Delivery",https://www.linkedin.com/in/dom-pearson-mcmi-b7049a2a/,United Kingdom,2025-03-01,1,drafted,NOT LOADED - pending DNC gate,"Strategic resource planning built for a normal season met the day Eurocontrol logged as Europe's busiest ever, and the gap between plan and day is now priced per passenger.","A resourcing gap from one week in July can keep generating claims until 2032, which gives resource decisions a six year shadow.","it's about the note I sent on the three hour mark, and the resourcing gap it prices","Hi Dom, it's Jack Ohagan. Resource plans met record traffic in late July, and the cost of the gap between plan and reality is now priced per delayed passenger. The operations that cope re-deploy people inside the day, not inside the week. How close is your re-deployment loop to real time?",PASS (fixed v1.1),airlines-v1.1
Jet2,jet2.com,Resource Planning/WFM,Paul Swinfen,Head of Operations Control,https://www.linkedin.com/in/paul-swinfen/,United Kingdom,2017-11-01,1,drafted,NOT LOADED - pending DNC gate,"Operations control watches the disruption form in real time, while the teams who absorb its cost, the claims desk and the contact centre, mostly find out tomorrow.",Everything the control room logs this summer carries a six year claims tail it will never see.,"it's about the note I sent on the three hour mark, and the tomorrow problem","Hi Paul, it's Jack Ohagan. Ops control has the real-time picture and everyone downstream gets the morning-after version, and that overnight gap is where the compensation clock quietly runs. How close is the loop between your desk and the teams staffing the day after?",PASS,airlines-v1.0
Ryanair,ryanair.com,COO/Ops Dir,Neal McMahon,Chief Operations Officer,https://www.linkedin.com/in/neal-mcmahon-9207b233/,Ireland,2023-04-01,1,drafted,NOT LOADED - pending DNC gate,"At the scale of Europe's largest operation, a rounding error percentage of flights past the three hour mark is still a very large absolute number at 250 euro a passenger.","Each of this summer's delays keeps a claims tail measured in years, and at scale those tails stack into a standing workload rather than a spike.","it's about the note I sent on the three hour mark, and what it means at your scale","Hi Neal, it's Jack Ohagan. At your scale the compensation rule isn't about any one flight, it's that a fraction of a percent past three hours becomes a permanent claims workload. The airlines handling it well treat the day after disruption as an operation of its own. How is that shaped on your side?",PASS,airlines-v1.0
Ryanair,ryanair.com,Cust Operations/CX,Izabella Lenkiewicz,"Head of Customer Operations, Training & Quality",https://www.linkedin.com/in/lenkiewiczizabela/,Ireland,2020-08-01,1,drafted,NOT LOADED - pending DNC gate,"Most complaint volume after a disrupted day isn't about the delay itself, it's about what happened in the queue afterwards, and that part is trainable.","Quality reviews catch last month's disruption handling, but the claims from it keep arriving for six years, which is a long audit trail for one afternoon.","it's about the note I sent on the three hour mark, and the queue that forms the morning after","Hi Izabella, it's Jack Ohagan. The thing I find interesting about disruption complaints is that the delay is priced by law but the queue afterwards is where the experience is actually decided, and that's the part training can move. How do your teams get coaching to agents in the middle of a surge week?",PASS,airlines-v1.0
Ryanair,ryanair.com,Ground/Airport Ops,Rob Wall,Deputy Director Ground Operations,https://www.linkedin.com/in/rob-wall-3ba12641/,Ireland,2021-03-01,1,drafted,NOT LOADED - pending DNC gate,"Station performance used to be an ops number, now it's a finance one, because every delay that compounds past three hours converts into a fixed payout per passenger.","The claims from a bad station week arrive for six years, long after the roster that caused them has been rewritten.","it's about the note I sent on the three hour mark, from the station side","Hi Rob, it's Jack Ohagan. Station performance is a finance number now, every compounding delay past three hours has a per passenger price on it. The gap I keep seeing is between the station knowing it's slipping and the wider workforce reacting. How quickly can your stations pull help toward a slipping turn?",PASS (opener inverted v1.2),airlines-v1.2
Ryanair,ryanair.com,Ground/Airport Ops,Tom Kelly,Director - Ground Operations,https://www.linkedin.com/in/thomaskelly3/,Ireland,2024-05-01,1,drafted,NOT LOADED - pending DNC gate,"At your turn times, the three hour compensation threshold is never more than a couple of missed turns away.","A station's bad morning generates claims that arrive for years, mostly to teams who never saw the original stand.","it's about the note I sent on the three hour mark, and how few missed turns it takes to get there","Hi Tom, it's Jack Ohagan. On a fast turn operation the compensation threshold is only ever a few missed turns away, and the stations that stay ahead of it are the ones that can re-shuffle people in minutes rather than shifts. How much of that re-shuffling is systematic for you versus supervisors improvising?",PASS (fixed v1.1),airlines-v1.1
Ryanair,ryanair.com,Ground/Airport Ops,Rob Read,Head of Ground Operations - Compliance,https://www.linkedin.com/in/rob-read-389632b3/,United Kingdom,2024-10-01,1,drafted,NOT LOADED - pending DNC gate,"Operating under both the UK and EU compensation regimes means every disrupted rotation is priced twice over, in pounds one way and euro the other.","Compliance files close, but the claims window doesn't, six years is a long time for one summer's exceptions to keep resurfacing.","it's about the note I sent on the three hour mark, and running it under two regimes at once","Hi Rob, it's Jack Ohagan. Running ground compliance across two compensation regimes at once means the same delayed rotation can be priced in pounds and euro depending on the direction of travel. When an exception lands, how much of the follow-up workload is systematised versus chased by hand?",PASS,airlines-v1.0
Ryanair,ryanair.com,Ground/Airport Ops,Alex Stewart,Head of Ground Operations - Finance,https://www.linkedin.com/in/alex-stewart-536007132/,Ireland,2026-04-01,1,drafted,NOT LOADED - pending DNC gate,"Ground ops finance used to be about cost per turn, but the three hour rule added a second ledger, exposure per delayed passenger, and it moves faster than the first.","This summer's exposure ledger stays open for six years, which makes it one of the few finance lines that outlives its own budget cycle.","it's about the note I sent on the three hour mark, and the second ledger it created","Hi Alex, it's Jack Ohagan. The finance picture on the ground changed when delay minutes got priced per passenger, there's the cost of the operation and then there's the exposure it generates, and the second one compounds on bad days. How visible is that exposure line to the people who could actually move it during the day?",PASS,airlines-v1.0
Ryanair,ryanair.com,Resource Planning/WFM,Ken O'Shea,Head of Operations Control at Ryanair,https://www.linkedin.com/in/kenoshea/,Ireland,2021-08-01,1,drafted,NOT LOADED - pending DNC gate,"Operations control sees a disruption forming hours before anyone else, but the teams who absorb its cost, claims, contact, ground recovery, usually re-plan a day later.","Every event the control room manages this summer opens a claims window that outlasts the roster, the season and probably the ops system it was logged in.","it's about the note I sent on the three hour mark, and the gap between the control room and the day after","Hi Ken, it's Jack Ohagan. The control room has the most real-time picture in the company, and what I keep noticing is how rarely the downstream workforce moves at the same speed. When you re-flow the network, how long before the claims and contact teams re-flow with it?",PASS,airlines-v1.0
Ryanair,ryanair.com,Resource Planning/WFM,Conor Gillardy,Deputy Director Flight Operations Control,https://www.linkedin.com/in/conorgillardy/,Ireland,2024-11-01,1,drafted,NOT LOADED - pending DNC gate,"Flight ops control decides in minutes what the compensation rule then prices in hundreds of euro per passenger, which makes it the most financially loaded desk in the operation.","A re-flow decision made in thirty seconds can carry a claims tail of six years, which is an odd asymmetry to sit with every day.","it's about the note I sent on the three hour mark, and the price on a re-flow decision","Hi Conor, it's Jack Ohagan. The asymmetry that strikes me about ops control is that a thirty second re-flow decision now carries a priced, six year tail. The desks are fast, it's the downstream teams that lag. From where you sit, what's the slowest part of the machine to catch up after a bad day?",PASS,airlines-v1.0
Virgin Atlantic,virginatlantic.com,COO/Ops Dir,Suzanne Roddie,Chief Operating Officer,https://www.linkedin.com/in/suzanne-roddie-21702814/,United Kingdom,2026-01-01,1,drafted,NOT LOADED - pending DNC gate,"In an all widebody operation the aircraft usually recovers from a bad day faster than the workforce does, and the gap between those two recoveries is what the compensation rules price, at 520 pounds a seat.","At long haul the claims tail is heavier and longer, six years per event, which turns one bad week into a standing line item.","it's about the note I sent on the three hour mark, and what it prices at 520 pounds a seat","Hi Suzanne, it's Jack Ohagan. An all widebody operation means every delay that crosses the line is a six figure one, and the pattern I keep seeing is that the aircraft recovers before the workforce does, claims and contact running a day behind the operation. Where does that second wave hit hardest for you?",PASS (opener inverted v1.2),airlines-v1.2
Virgin Atlantic,virginatlantic.com,Cust Operations/CX,Bethan Lynch,"Vice President, Customer Experience & Loyalty",https://www.linkedin.com/in/bethan-lynch-2139349/,United Kingdom,2026-07-01,1,drafted,NOT LOADED - pending DNC gate,"A compensation claim handled slowly costs more than 520 pounds, it costs the version of the airline the customer believed in when they booked.","The regulation gives passengers six years to claim, but loyalty gets decided in the first week, which makes the surge window the real retention moment.","it's about the note I sent on the three hour mark, and what a slow claim does to loyalty","Hi Bethan, it's Jack Ohagan. The compensation number is fixed by law, but whether that claimant books again next year isn't, and the queue they sit in during week one mostly decides it. How closely does your team track what the claim experience does to rebooking?",PASS (fixed v1.1),airlines-v1.1
Virgin Atlantic,virginatlantic.com,Cust Operations/CX,Miles King,Head of Customer Experience,https://www.linkedin.com/in/miles-king-4067111b/,United Kingdom,2026-07-01,1,drafted,NOT LOADED - pending DNC gate,"After a disrupted long haul flight the customer experience is decided twice, once in the air and once in the claims queue, and only one of those is under the airline's control.","Six years is how long a claim can arrive after the flight, and every one of them reopens the experience the airline thought was settled.","it's about the note I sent on the three hour mark, and the second experience after the flight","Hi Miles, it's Jack Ohagan. Every disrupted flight creates a second customer experience, the claims one, and it's staffed like admin even though it's remembered like the flight. The teams that win it treat the week after disruption as a service moment. How is that week resourced on your side?",PASS,airlines-v1.0
Virgin Atlantic,virginatlantic.com,Cust Operations/CX,Darren Kelly,Head of Customer Contact,https://www.linkedin.com/in/darren-kelly-3628b698/,United Kingdom,2026-07-01,1,drafted,NOT LOADED - pending DNC gate,"The morning after a disrupted long haul day, the contact centre absorbs the whole event, the claims, the re-bookings and the passengers who just want someone to answer.","Claims keep arriving for six years, which means the contact operation carries every past summer as a permanent baseline on top of the current one.","it's about the note I sent on the three hour mark, and the morning after in the contact centre","Hi Darren, it's Jack Ohagan. The contact centre is where a disrupted day actually lands, all of it, the next morning, and surge capacity is decided before the disruption ever happens. When a bad day is forming, how much warning does your operation get to reshape ahead of it?",PASS,airlines-v1.0
Virgin Atlantic,virginatlantic.com,Resource Planning/WFM,Ben Wheatley,Duty Director - OCC ( Operations Control Centre),https://www.linkedin.com/in/ben-wheatley-0475a310a/,United Kingdom,2022-08-01,1,drafted,NOT LOADED - pending DNC gate,"The OCC sees a disruption forming before anyone else in the company, and at 520 pounds a seat the decisions made on that desk are priced higher than almost any other.",Every event the OCC works this summer leaves a six year claims tail the desk never sees but the operation keeps paying.,"it's about the note I sent on the three hour mark, seen from the OCC side","Hi Ben, it's Jack Ohagan. The OCC holds the only real-time picture, and at 520 pounds a seat its calls are some of the most expensive in the company, yet the teams downstream mostly re-plan next morning. From the desk, what's the slowest part of the operation to catch up after a bad night?",PASS,airlines-v1.0
easyJet,easyjet.com,COO/Ops Dir,Kelly Valentine,Head of Operations and Air Traffic Management,https://www.linkedin.com/in/kelly-valentine-96663531/,United Kingdom,2026-03-01,1,drafted,NOT LOADED - pending DNC gate,"One in five European flights was held by flow restrictions in the last full week of July, and every hold that pushes an arrival past three hours turns a delay into a payout.","This summer's flow restrictions will still be arriving as claims in 2032, because the six year window outlives every season that causes it.","it's about the note I sent on the three hour mark, the air traffic side of it specifically","Hi Kelly, it's Jack Ohagan. One in five flights got held by flow restrictions in late July, and what strikes me is the gap between the control room seeing it live and the teams downstream re-planning a day later. How real-time does that handoff feel from your side?",PASS,airlines-v1.0
easyJet,easyjet.com,COO/Ops Dir,Jamie Fraser,Head of Operations Transformation,https://www.linkedin.com/in/jamiefraser/,United Kingdom,2025-08-01,1,drafted,NOT LOADED - pending DNC gate,"The week after a disrupted day has quietly become the expensive part, the claims, the calls and the re-accommodation landing together, and every arrival that crossed three hours is already billing at 220 pounds a passenger.","Whatever this summer's change agenda looked like in January, the six year claims tail from July is now part of it, and it compounds quietly.","it's about the note I sent on the three hour mark, and where it lands on a change agenda","Hi Jamie, it's Jack Ohagan. Most change programmes I see price the disruption day itself but not the week after it, when claims, contact volume and re-accommodation all spike on the same morning. Is that second week something your programme already models?",PASS (opener inverted v1.2),airlines-v1.2
easyJet,easyjet.com,COO/Ops Dir,Neil Slaven,Director of Operations Strategy and Planning,https://www.linkedin.com/in/neil-slaven-02793543/,United Kingdom,2024-01-01,1,drafted,NOT LOADED - pending DNC gate,"Strategy decks price the summer schedule, but the number that moved this year is what a slipped rotation costs, 220 pounds a passenger once it crosses three hours.","Planning now has a six year horizon whether it wants one or not, because that is how long this summer's delays can keep arriving as claims.","it's about the note I sent on the three hour mark, and how it changes the planning maths","Hi Neil, it's Jack Ohagan. The planning question I find most interesting this summer is not the schedule, it's the recovery, because the gap between a plan breaking and every downstream team re-planning is where the compensation clock does its damage. How much of that recovery is systematised on your side?",PASS,airlines-v1.0
easyJet,easyjet.com,COO/Ops Dir,Andy Hearse,Head of Operations Data & Intelligence,https://www.linkedin.com/in/andy-hearse-791069b7/,United Kingdom,2026-04-01,1,drafted,NOT LOADED - pending DNC gate,"The delay data already prices itself, every arrival past three hours is 220 pounds a passenger, which makes the ops data team the only people who can see the bill forming in real time.","Six years is the claims window, so the dataset you build this summer is also the liability ledger for the next six.","it's about the note I sent on the three hour mark, and who sees the bill forming first","Hi Andy, it's Jack Ohagan. Your team is probably the only one that can watch the compensation exposure form in real time, most of the teams who could act on it see it a day later. How close is that loop between the data and the people re-planning around it?",PASS,airlines-v1.0
easyJet,easyjet.com,Cust Operations/CX,John Leighton,Customer Service Director,https://www.linkedin.com/in/johnleightonexeter/,United Kingdom,2016-07-01,1,drafted,NOT LOADED - pending DNC gate,"Eurocontrol logged the busiest day in European aviation history on 24 July, and every flight that slipped past the three hour mark that day started a compensation clock at 220 pounds a passenger.","A claim from one disrupted afternoon can arrive any time in the next six years, so the queue your team staffs this summer is one they will still be working long after the season ends.","it's about the note I sent on the three hour mark, and what the day after a disrupted day does to a service team","Hi John, it's Jack Ohagan. The pattern I keep seeing this summer is that the compensation bill gets budgeted but the week after a bad day doesn't, the claims, the calls and the re-bookings all landing on the same team at once. How are your teams absorbing that this summer?",PASS,airlines-v1.0
easyJet,easyjet.com,Ground/Airport Ops,Simon Cox,Director - Ground Operations,https://www.linkedin.com/in/simon-cox-207aa91/,United Kingdom,2024-03-01,1,drafted,NOT LOADED - pending DNC gate,"On a disrupted morning the difference between a station that recovers and one that doesn't is measured in ground minutes, and the three hour rule now prices those minutes at 220 pounds a seat.","Ground minutes saved in August keep paying for six years, since that is how long a passenger has to claim the delay you prevented.","it's about the note I sent on the three hour mark, and the ground minutes either side of it","Hi Simon, it's Jack Ohagan. The three hour rule means a handful of ground minutes can be the difference between a normal day and a five figure one, and the teams who decide it rarely see the clock. Do your station teams see that number live, or after the fact?",PASS (opener inverted v1.2),airlines-v1.2
easyJet,easyjet.com,Ground/Airport Ops,Hugh McConnellogue,Director of Airport Operations & Navigation,https://www.linkedin.com/in/hugh-mcconnellogue-5432068/,United Kingdom,2021-09-01,1,drafted,NOT LOADED - pending DNC gate,"The expensive delay is rarely the first one of the day, it's the knock-on through the airport afternoon that pushes later arrivals past the three hour mark, each of them priced per passenger.","The six year claims window means an airport's worst week keeps a tail, and the tail usually lands on teams who never saw the original delay.","it's about the note I sent on the three hour mark, and the knock-on through an airport day","Hi Hugh, it's Jack Ohagan. The expensive delay is rarely the first one, it's the knock-on through the rest of the airport day that pushes later arrivals past the three hour mark. The operations that contain it re-shape their ground teams inside the day. How quickly can yours pull resource toward a slipping bank?",PASS (fixed v1.1),airlines-v1.1
easyJet,easyjet.com,Resource Planning/WFM,Neil Doherty,Head of Crew [Resource] Planning,https://www.linkedin.com/in/neil-doherty-05857b4/,United Kingdom,2018-01-01,1,drafted,NOT LOADED - pending DNC gate,"Crew plans built in the winter are meeting a July that just delivered Europe's busiest day of flying on record, and every uncovered rotation that drifts past three hours now carries a per passenger price.","A crewing gap from one July afternoon can generate claims until 2032, which is a long tail for a single roster decision.","it's about the note I sent on the three hour mark, from the crew planning side","Hi Neil, it's Jack Ohagan. Record traffic is stress-testing every crew plan in Europe right now, and the cost of a gap isn't abstract anymore, it's priced per passenger per rotation. When disruption hits, how fast does the downstream workforce picture catch up with the crew picture?",PASS (fixed v1.1),airlines-v1.1
