company,domain,industry,icp_fit,employees,estate,verint_products_dated,nice_products_dated,wfm_latest,cc_latest,vito_in_dwo_pool,vito_names,evidence_tier,sku_signal,sku_signal_source,sku_signal_date,nice_use_tag,rep_confirmed,flag
Aveanna Healthcare,aveanna.com,Healthcare Provider,yes,33700,nice,,NICE CXone (2026-04-14),,NICE,1,"Kristy Rohwedder, MBA, BSN, RN (Chief Operating Officer)",D,,,,"bundled, no evidence of use",,
Henry Ford Health System,henryford.com,Healthcare Provider,yes,33000,nice,,NICE inContact (2023-09-18),,Avaya,4,"Joseph Zimmerman (Chief Operating Officer, Henry Ford Medical Group); Karima Bentounsi (President HF West Bloomfield & Regional COO HF Providence Novi & Southfield); Miles Schermerhorn, MHSA (Chief Administrative Officer (CAO), Mosaic Clinically Integrated Network (CIN) and Populance); Michael Cervenak (Chief Operating Officer)",D,,,,"bundled, no evidence of use",,
CarMax Auto Finance,carmax.com,Retail,yes,30000,nice,,NICE inContact (2020-06-01),,Genesys,0,,D,,,,"bundled, no evidence of use",,
Sun Life Financial,sunlife.com,Div Financial Services,yes,29169,nice,,Nice Workforce Management (2023-10-05),NICE,,0,,D,,,,"bundled, no evidence of use",,
UCHealth,uchealth.org,Healthcare Provider,yes,28500,nice,,NICE CXone (2020-12-09),,NICE,4,"Robert Welch, FACHE (Chief Operating Officer); Robbie Dumond (Chief Operating Officer); Erin Smith (Chief Operating Officer); Brian Allen, FACHE (Chief Operating Officer)",D,,,,"bundled, no evidence of use",,
Farmers Group,farmers.com,Insurance,yes,25935,nice,,NICE CXone (2025-08-27),,Genesys,0,,B,"NICE case study: Farmers Insurance on NICE WFM, schedule adherence and WFM reporting",https://www.nice.com/resources/farmers-insurance,2016 results,"vendor confirmed, desktop module not named",,
TSYS (UK),tsys.com,Div Financial Services,yes,24000,nice,,NICE inContact (2026-04-19),,Talkdesk,0,,D,,,,"bundled, no evidence of use",,
Henry Schein,henryschein.com,Retail,yes,23000,nice,,NICE CXone (2022-10-16),,Amazon Connect,1,"Michael Ettinger (Executive Vice President, Chief Operating Officer)",D,,,,"bundled, no evidence of use",,
Hudson's Bay Company,hbc.com,Retail,yes,22000,nice,,NICE inContact (2021-06-10),,NICE,0,,D,,,,"bundled, no evidence of use",,
Experian US,experian.com,Div Financial Services,yes,21700,nice,,NICE CXone (2026-05-28),,NICE,0,,D,,,,"bundled, no evidence of use",,
First American,firstam.com,Div Financial Services,yes,21153,nice,,NICE inContact (2022-06-15),Calabrio,Five9,1,"Robert Lawson, CTP (Senior Vice President, Chief Administrative Officer)",D,,,,"bundled, no evidence of use",,
The Hartford Financial Services Group,thehartford.com,Div Financial Services,yes,18800,both,,NICE CXone (2025-09-15); Nice Workforce Management (2024-11-16),NICE,Genesys,0,,A,"Technical lead provides 'technical support for Verint call recording, Speech Analytics and Desktop Process Analytics' and holds a Verint Desktop Process Analytics certification. Stack read shows NICE only",https://www.linkedin.com/in/hamlin-mcdade-37bb3b/,profile read Sep 9 2026,"vendor confirmed, desktop module not named",,
Maximus,maximus.com,Outsourcer,yes,18600,both,Verint Workforce Management (2023-09-30),NICE CXone (2026-07-09),Calabrio,NICE,0,,A-,"Rep-confirmed (Nathan Belfield, Sep 4 2026: Verint in the back office, users unhappy). Verint's blinded Healthcare BPO case study (Medicaid processing for several US states, 14 teams first) names Operations Visualizer, Operations Manager and Desktop and Process Analytics and matches the Maximus footprint",https://www.verint.com/case-studies/verint-helps-a-large-business-process-outsourcer-supporting-the-medicaid-processing-for-several-us-states-better-measure-and-improve-performance/,rep read Sep 4 2026; case study undated,"bundled, no evidence of use","Verint (WFM, back office) per Nathan Belfield, 2026-09-04; PredictLeads adds NICE CXone seen 2026-07",
Raymond James,raymondjames.com,Div Financial Services,yes,14491,nice,,NICE CXone (2026-02-04),,NICE,2,"Will Hodge (Senior Managing Director and Chief Operating Officer of Investment Banking); Laura Hillman (Chief Operating Officer, Global Consumer & Retail Investment Banking)",D,,,,"bundled, no evidence of use",,
Williams-Sonoma,williams-sonomainc.com,Retail,yes,12500,nice,,NICE CXone (2026-06-03),,Avaya,0,,D,,,,"bundled, no evidence of use",,
FirstEnergy Corporation,firstenergycorp.com,Utilities,yes,12042,nice,,NICE CXone (2026-07-14),,NICE,1,Toby Thomas (COO),D,,,,"bundled, no evidence of use",,
Windstream Communications,windstream.com,Telco/Cable,yes,11080,nice,,NICE CXone (2025-08-09); NICE inContact (2023-12-07),,NICE,0,,D,,,,"bundled, no evidence of use",,
GameStop Corp.,gamestop.com,Retail,yes,11000,nice,,NICE CXone (2022-08-16),,NICE,0,,D,,,,"bundled, no evidence of use",,
Ashley Furniture Industries,ashleyfurnitureindustriesllc.com,Retail,yes,10244,nice,,NICE inContact (2026-06-21),,Genesys,0,,C,AppsRunTheWorld lists Ashley Furniture as a NICE inContact CXone customer (third-party technographic),https://www.appsruntheworld.com/customers-database/products/view/nice-incontact-cxone-cloud-cx-platform,undated listing,"bundled, no evidence of use",,
Aspen Dental,aspendental.com,Healthcare Provider,yes,10000,both,Verint Workforce Management (2026-08-13),NICE CXone (2025-04-15),Verint,NICE,0,,D,,,,"bundled, no evidence of use",,
Columbia Sportswear,columbia.com,Retail,yes,9450,nice,,NICE inContact (2026-08-25),,NICE,0,,B,"NICE inContact blog: Columbia Sportswear runs multi-brand agents on inContact (CXone) across buildings, states and countries",https://www.niceincontact.com/blog/columbia-sportswear-takes-customer-service-to-the-cloud,undated (inContact era),"vendor confirmed, desktop module not named",,
Freddie Mac,freddiemac.com,Div Financial Services,yes,7799,nice,,NICE inContact (2020-11-12),,NICE,4,"Marvin Boyd, PgMP, PMP, CSM, CSPO (Head of Enterprise Data Management | Enterprise Data Office Chief Operating Officer); Graham Phillips (COO - Platform & Infrastructure / Enterprise Operations & Technology); William Buskirk (Senior Vice President - Chief Operating Officer); Leanne Spies (Senior Vice President, COO, & Divisional Risk Officer for Enterprise Operations & Technology)",D,,,,"bundled, no evidence of use",,
State Employees Credit Union (SECU),ncsecu.org,Banking,yes,7400,nice,,NICE CXone (2024-11-23),,NICE,2,Stacey Waddell (EVP Chief Operations Officer); Jennifer Hamrick (Chief Operating Officer),B,"NICE case study and press release: SECU on CXone Mpower (2,300 seats), IEX WFM and EEM (1,100 seats), Performance Management, Quality Management, Interaction Analytics",https://www.nice.com/resources/transforming-member-experience-secus-journey-with-nice,2025 (press release); results within the past year,"vendor confirmed, desktop module not named",,
TaskUs,taskus.com,Outsourcer,yes,7286,nice,,NICE CXone (2023-09-01); Nice Workforce Management (2023-06-20),NICE,Amazon Connect,0,,D,,,,"bundled, no evidence of use",,
Carefirst,carefirst.com,Home & Auto Insurance,yes,7180,nice,,NICE CXone (2025-08-19),,NICE,1,Cheryl Toland (COO - Medicaid),D,,,,"bundled, no evidence of use",,
"NRG Energy, Inc.",nrg.com,Utilities,yes,6603,nice,,NICE CXone (2025-11-19),Calabrio,Amazon Connect,1,Suzie Dieth (Consumer Vice President and Chief Experience Officer (CXO)),D,,,,"bundled, no evidence of use",,
"Securian Financial Group, Inc.",securian.com,Div Financial Services,yes,6500,nice,,NICE CXone (2026-08-20); NICE inContact (2026-03-28),,RingCentral,0,,D,,,,"bundled, no evidence of use",,
Massachusetts Mutual Life Insurance Company (MassMutual),massmutual.com,Div Financial Services,yes,6000,nice,,NICE inContact (2022-11-03),,Talkdesk,1,"Courtney R. (Head of Affiliated Distribution Compliance and CCO for MML Investors Services, LLC)",D,,,,"bundled, no evidence of use",,
St. Jude Children's Research Hospital,stjude.org,Healthcare Provider,yes,5500,nice,,NICE inContact (2023-11-29),,NICE,1,Maria Papola Megdal (Executive Vice President and Chief Administrative Officer),D,,,,"bundled, no evidence of use",,
First National Bank of Omaha,fnbo.com,Banking,yes,5000,both,Verint Workforce Management (2022-11-01),NICE CXone (2026-08-03),Aspect,NICE,0,,B,NICE case study (May 2026): FNBO on NICE WFM Suite and Employee Engagement Manager (Flex program). Overrides the older Verint WFM stack read,https://www.nice.com/resources/case-study-fnbo,May 2026,"vendor confirmed, desktop module not named",,
Worldpay (UK),worldpay.com/en/uk,Div Financial Services,yes,5000,nice,,NICE CXone (2025-05-26),,Five9,0,,D,,,,"bundled, no evidence of use",,
SUNPOWER,sunpower.com,Utilities,yes,4710,nice,,NICE inContact (2024-08-29),,Five9,1,Cole Allen (Chief Administrative Officer),D,,,,"bundled, no evidence of use",,
Cambia Health Solutions,cambiahealth.com,Home & Auto Insurance,yes,4500,nice,,NICE inContact (2025-08-11),,NICE,0,,D,,,,"bundled, no evidence of use",,
"Arise Virtual Solutions, Inc.",arise.com,Outsourcer,yes,4452,nice,,NICE CXone (2020-12-08),,Avaya,0,,D,,,,"bundled, no evidence of use",,
"1-800-FLOWERS.COM, Inc.",1800flowers.com,Retail,yes,4200,nice,,NICE CXone (2020-09-17),,Five9,0,,D,,,,"bundled, no evidence of use",,
TruStage Financial Group (formerly CUNA Mutual),cunamutual.com,Home & Auto Insurance,yes,4200,nice,,NICE CXone (2021-12-12),,NICE,0,,D,,,,"bundled, no evidence of use",,
NFU Mutual,nfumutual.co.uk,Div Financial Services,yes,4043,nice,,Nice Workforce Management (2024-11-16),NICE,,0,,D,,,,"bundled, no evidence of use",,
DHU Healthcare UK,dhuhealthcare.com,Healthcare Provider,yes,4000,nice,,Nice Workforce Management (2025-03-25),NICE,,0,,B,"NICE case study: DHU Healthcare (NHS 111, 2.4M calls a year) on NICE WFM with Value Realisation Services",https://www.nice.com/resources/dhu-healthcare-transforms-with-consultative-guidance-and-timesaving-automation,undated (recent),"vendor confirmed, desktop module not named",,
Ferrellgas Partners,ferrellgas.com,Utilities,yes,3919,nice,,NICE inContact (2022-10-26),,NICE,0,,D,,,,"bundled, no evidence of use",,
AAA Texas,aaa.com,Home & Auto Insurance,yes,3500,nice,,Nice Workforce Management (2018-04-24),NICE,,0,,D,,,,"bundled, no evidence of use",,"AAA National HQ is a customer; AAA Texas is Auto Club Enterprises, a separate club. AE to confirm"
Alfa Insurance,alfainsurance.com,Home & Auto Insurance,yes,2600,nice,,NICE inContact (2026-05-20),,NICE,0,,D,,,,"bundled, no evidence of use",,
BECU,becu.org,Div Financial Services,yes,2595,nice,,NICE CXone (2026-07-01),,NICE,0,,D,,,,"bundled, no evidence of use",,
Capital Blue Cross,capbluecross.com,Home & Auto Insurance,yes,2589,nice,,NICE inContact (2023-11-29),Calabrio,NICE,0,,D,,,,"bundled, no evidence of use",,
NJM Insurance Group,njm.com,Home & Auto Insurance,yes,2530,nice,,NICE CXone (2026-08-30),,NICE,1,Carol Voorhees (Executive Vice President & Chief Operating Officer),D,,,,"bundled, no evidence of use",,
Blue Cross Blue Shield Arizona (BCBS AZ),azblue.com,Home & Auto Insurance,yes,2500,both,Verint (2023-06-07),NICE inContact (2023-03-15),Verint,Avaya,2,Joe Greenberg (Chief Operating Officer); Kathleen Bonzani (Chief Accounting Officer (CAO)),D,,,,"bundled, no evidence of use",,
Consumer Cellular,consumercellular.com,Telco/Cable,yes,2400,nice,,NICE CXone (2025-12-09); NICE inContact (2025-12-09),Aspect,NICE,1,Elizabeth Hunter (Chief Operating Officer),B,NICE case study: Consumer Cellular on CXone with Copilot for Agents and Automated Summary,https://www.nice.com/resources/consumer-cellular-has-always-been-about-the-conversation-ai-made-it-a-better-one,undated (2025-26 product),"vendor confirmed, desktop module not named",,
Primerica,primerica.com,Insurance,yes,2381,nice,,NICE CXone (2020-09-22),,Avaya,1,Mark Beauchamp (EVP & COO Primerica Distribution),D,,,,"bundled, no evidence of use",,
Payoneer,payoneer.com,Div Financial Services,yes,2336,nice,,NICE CXone (2025-12-09),,NICE,1,Itai Perry (Chief Accounting Officer (CAO)),D,,,,"bundled, no evidence of use",,
Amerilife Group LLC,amerilife.com,Home & Auto Insurance,yes,2250,nice,,NICE inContact (2022-12-26),,NICE,1,Tim Calvert (Chief Operating Officer),D,,,,"bundled, no evidence of use",,
Credit Acceptance,creditacceptance.com,Div Financial Services,yes,2246,nice,,NICE inContact (2024-11-14),Aspect,Genesys,2,Nick Elliott (Chief Transformation Officer); Jonathan Lum (Chief Operating Officer),D,,,,"bundled, no evidence of use",,
SES,ses.com,Telco/Cable,yes,2100,nice,,NICE inContact (2026-08-28),,NICE,0,,D,,,,"bundled, no evidence of use",,
Horace Mann Educators Corporation,horacemann.com,Div Financial Services,yes,1700,nice,,NICE CXone (2020-02-25),,NICE,0,,D,,,,"bundled, no evidence of use",,
Government Employees Health Association Inc,geha.com,Health Insurance,yes,1600,nice,,NICE CXone (2025-08-01),,NICE,0,,D,,,,"bundled, no evidence of use",,
"eHealth , Inc.",ehealthinsurance.com,Home & Auto Insurance,yes,1515,nice,,NICE CXone (2022-01-03); NICE inContact (2026-08-02),Calabrio,NICE,0,,D,,,,"bundled, no evidence of use",,
WOW! (WideOpenWest),wowway.com,Telco/Cable,yes,1500,nice,,NICE CXone (2019-11-05),,Avaya,0,,D,,,,"bundled, no evidence of use",,
1800Contacts,1800contacts.com,Retail,yes,1230,nice,,NICE CXone (2026-02-10),,NICE,0,,D,,,,"bundled, no evidence of use",,
Trupanion,trupanion.com,Health Insurance,yes,1187,nice,,NICE inContact (2023-01-18),Calabrio,Avaya,1,John Gallagher (Chief Operating Officer),B,NICE inContact CXone moved 900 Trupanion employees to remote work in 72 hours,https://medium.com/inside-the-salesforce-ecosystem/united-way-trupanion-remain-open-with-nice-incontact-82a48716fde5,2020,"vendor confirmed, desktop module not named",,
Cinch Home Services,cinchhomeservices.com,Home & Auto Insurance,yes,900,nice,,NICE CXone (2026-03-22),,NICE,2,Jessica Fields (Chief Commercial Officer (CCO)); Chris Askew (Chief Operating Officer),D,,,,"bundled, no evidence of use",,
CMI Group,thecmigroup.com,Outsourcer,yes,200,nice,,NICE CXone (2021-11-04),,NICE,0,,D,,,,"bundled, no evidence of use",,
IBM TFL,ibm.com,Outsourcer,yes,200,nice,,NICE CXone (2026-03-29); NICE inContact (2025-10-05),Calabrio,NICE,0,,D,,,,"bundled, no evidence of use",,
Orange Belgium,orange.com,Telco/Cable,yes,50,nice,,NICE CXone (2026-08-20),,NICE,0,,D,,,,"bundled, no evidence of use",,
Marriott,marriott.com,Hospitality,outside six verticals,377000,nice,,NICE CXone (2026-04-13),,Amazon Connect,3,"Julius W. Robinson (Chief Operating Officer, Western US & Gaylord Hotels Nationwide, Marriott International); Andy Kauffman (Chief Commercial Officer (CCO) - US & Canada); Mark Gaber (Chief Operations Officer, U.S. East)",D,,,,"bundled, no evidence of use",,
IBM Corporation,ibm.com/uk,Technology,outside six verticals,366000,nice,,NICE CXone (2026-03-29); NICE inContact (2025-10-05),Calabrio,NICE,0,,D,,,,"bundled, no evidence of use",,
Teleperformance UK,teleperformance.com,Business Services,outside six verticals,334896,nice,,NICE CXone (2024-10-21),Calabrio,Genesys,0,,A,"NICE case studies: NICE WFM plus Desktop Analytics for back-office agents at Teleperformance Brasil; Interaction Analytics, Quality Optimizer, Customer Feedback and Desktop Analytics at six UK sites",https://www.nice.com/resources/teleperformance-case-study,"undated on page (NICE resource, PDF Aug 2024)",bundled and used,,
Ford Motor Company (Ford Pro),ford.com,Manufacturing,outside six verticals,173000,nice,,NICE CXone (2026-07-21),,NICE,1,Laura Castro (Chief Operating Officer and Business Office Lead),D,,,,"bundled, no evidence of use",,
Coca-Cola (Coke),coca-colacompany.com,Manufacturing,outside six verticals,130600,nice,,NICE inContact (2026-04-13),,NICE,0,,D,,,,"bundled, no evidence of use",,
Sony Pictures Entertainment Inc,sonypictures.com,Media & Internet,outside six verticals,108900,nice,,NICE inContact (2023-09-22),,NICE,0,,D,,,,"bundled, no evidence of use",,
Tyco Fire,johnsoncontrols.com,Manufacturing,outside six verticals,100000,nice,,NICE inContact (2026-04-19),Aspect,Amazon Connect,0,,D,,,,"bundled, no evidence of use",,
Enterprise Mobility (formerly Enterprise Holdings),enterprise.com,Transportation,outside six verticals,90000,nice,,NICE CXone (2020-12-05),,NICE,0,,D,,,,"bundled, no evidence of use",,
Hyatt Hotels Corporation,hyatt.com,Hospitality,outside six verticals,50000,nice,,NICE inContact (2024-03-14),Calabrio,NICE,2,Rajvir “RJ” Gosal (Chief Operations Officer); Mark Anderson (Chief Operating Officer),D,,,,"bundled, no evidence of use",,
Serco Inc,serco.com,,outside six verticals,50000,nice,,NICE CXone (2026-06-03),Calabrio,NICE,0,,B,Verint case study: Serco on Verint TimeFlex Bot for contact center scheduling; attrition down,https://www.verint.com/case-studies/serco-improves-agent-schedule-flexibility-with-verint-timeflex-bot/,undated (2024-25 product),"vendor confirmed, desktop module not named",,
Serco,serco.com,,outside six verticals,50000,nice,,NICE CXone (2026-06-03),Calabrio,NICE,0,,B,Verint case study: Serco on Verint TimeFlex Bot for contact center scheduling; attrition down,https://www.verint.com/case-studies/serco-improves-agent-schedule-flexibility-with-verint-timeflex-bot/,undated (2024-25 product),"vendor confirmed, desktop module not named",,
Tech Mahindra Limited,techmahindra.com,Telco_Cable,outside six verticals,49059,nice,,NICE CXone (2026-08-08),Aspect,NICE,1,Ateet Dhawan (Chief Transformation Officer),D,,,,"bundled, no evidence of use",,
Ecolab,ecolab.com,Manufacturing,outside six verticals,47000,nice,,NICE CXone (2024-11-22); NICE inContact (2023-12-05),,NICE,0,,D,,,,"bundled, no evidence of use",,
NTT Data Group,nttdata.com,,outside six verticals,45601,nice,,NICE inContact (2026-05-25),,NICE,0,,D,,,,"bundled, no evidence of use",,
Penske Truck Leasing,pensketruckleasing.com,Transportation,outside six verticals,43000,nice,,NICE inContact (2026-05-14),,NICE,0,,D,,,,"bundled, no evidence of use",,
The Trane Company,trane.com,Manufacturing,outside six verticals,39000,nice,,NICE CXone (2020-03-04),,NICE,0,,D,,,,"bundled, no evidence of use",,
"Medline Industries, Inc.",medline.com,Manufacturing,outside six verticals,36000,nice,,NICE CXone (2026-01-11); NICE inContact (2025-11-21),,Genesys,0,,D,,,,"bundled, no evidence of use",,
Salesforce.com,salesforce.com,Technology,outside six verticals,35000,nice,,NICE CXone (2026-05-18),,Five9,0,,D,,,,"bundled, no evidence of use",,
Uber,uber.com,Transportation,outside six verticals,32200,nice,,Nice Workforce Management (2025-09-29),NICE,Genesys,0,,D,,,,"bundled, no evidence of use",,
CMA CGM,cma-cgm.com,,outside six verticals,30394,nice,,NICE CXone (2026-07-26),,NICE,0,,D,,,,"bundled, no evidence of use",,
Ingram Micro,ingrammicro.com,Other,outside six verticals,27700,nice,,NICE CXone (2026-08-13),,Five9,0,,D,,,,"bundled, no evidence of use",,
SS&C Technologies,ssctech.com,Software,outside six verticals,27600,nice,,NICE CXone (2026-06-30); Nice Workforce Management (2024-09-04),Calabrio,NICE,0,,D,,,,"bundled, no evidence of use",,
FirstSource,firstsource.com,Business Services,outside six verticals,22824,nice,,NICE inContact (2025-06-04),Calabrio,Amazon Connect,0,,B,Verint community post: Firstsource on Verint Speech and Text Analytics; BusinessWire 2021: Firstsource moving WFM to the NICE WFM cloud suite,https://www.businesswire.com/news/home/20211027005454/en,Oct 27 2021,"vendor confirmed, desktop module not named",,
Startek,startek.com,Other,outside six verticals,19907,nice,,NICE CXone (2020-09-17),,Genesys,0,,D,,,,"bundled, no evidence of use",,
UKG,ukg.com,,outside six verticals,16048,nice,,NICE CXone (2026-05-20),,RingCentral,0,,D,,,,"bundled, no evidence of use",,
Holland America Line Inc,hollandamerica.com,Hospitality,outside six verticals,16000,both,Verint Workforce Management (2022-12-08),NICE CXone (2026-07-10),Verint,NICE,0,,D,,,,"bundled, no evidence of use",,
UniFirst,unifirst.com,Manufacturing,outside six verticals,16000,nice,,NICE CXone (2024-12-22),,Five9,0,,D,,,,"bundled, no evidence of use",,
Purolator,purolator.com,Transportation,outside six verticals,14000,nice,,NICE inContact (2025-01-06),,RingCentral,0,,D,,,,"bundled, no evidence of use",,
Change Healthcare LLC,changehealthcare.com,Software,outside six verticals,14000,both,Verint Workforce Management (2023-04-24),NICE CXone (2021-12-02),Verint,Amazon Connect,0,,D,,,,"bundled, no evidence of use",,
Rollins,rollins.com,Other,outside six verticals,13000,nice,,NICE CXone (2026-09-04),,Five9,0,,D,,,,"bundled, no evidence of use",,
Sunrun,sunrun.com,Consumer Services,outside six verticals,12408,nice,,NICE CXone (2025-01-17),Calabrio,Amazon Connect,2,Chance Allred (Chief Experience officer CXO and Chief Direct Sales Officer CDSO); Patrick Kent (Chief Operations Officer),D,,,,"bundled, no evidence of use",,
Spirit Airlines,spirit.com,Travel,outside six verticals,12025,nice,,NICE inContact (2021-07-19),Calabrio,NICE,0,,D,,,,"bundled, no evidence of use",,
CDW Distributing,cdw.com,Software,outside six verticals,11100,nice,,NICE CXone (2026-07-13),,NICE,0,,D,,,,"bundled, no evidence of use",,
Gainwell Technologies,gainwelltechnologies.com,,outside six verticals,10416,both,Verint Workforce Management (2026-06-28),NICE CXone (2026-08-30); NICE inContact (2025-09-14),Calabrio,Amazon Connect,0,,A,"VP Product Engineering, Head of Contact Center Technologies (since Mar 2025) owns 'Workforce Management, Quality Management, Operations Manager, Desktop Process analytics'. Medicaid administration BPO, same footprint as Maximus",https://www.linkedin.com/in/eshwar-muddasani-a4b40213/,profile read Sep 9 2026,"bundled, no evidence of use",,Outside the six verticals in Salesforce (IT services) but a Medicaid BPO; treat as Outsourcer
ResMed,resmed.com,Manufacturing,outside six verticals,10140,both,Verint Workforce Management (2026-04-29),NICE inContact (2026-09-03),Verint,NICE,0,,D,,,,"bundled, no evidence of use",,
