company,domain,industry,icp_fit,employees,estate,verint_products_dated,nice_products_dated,wfm_latest,cc_latest,vito_in_dwo_pool,vito_names,evidence_tier,sku_signal,sku_signal_source,sku_signal_date,nice_use_tag,rep_confirmed,flag
The Hartford Financial Services Group,thehartford.com,Div Financial Services,yes,18800,both,,NICE CXone (2025-09-15); Nice Workforce Management (2024-11-16),NICE,Genesys,0,,A,"Technical lead provides 'technical support for Verint call recording, Speech Analytics and Desktop Process Analytics' and holds a Verint Desktop Process Analytics certification. Stack read shows NICE only",https://www.linkedin.com/in/hamlin-mcdade-37bb3b/,profile read Sep 9 2026,"vendor confirmed, desktop module not named",,
Maximus,maximus.com,Outsourcer,yes,18600,both,Verint Workforce Management (2023-09-30),NICE CXone (2026-07-09),Calabrio,NICE,0,,A-,"Rep-confirmed (Nathan Belfield, Sep 4 2026: Verint in the back office, users unhappy). Verint's blinded Healthcare BPO case study (Medicaid processing for several US states, 14 teams first) names Operations Visualizer, Operations Manager and Desktop and Process Analytics and matches the Maximus footprint",https://www.verint.com/case-studies/verint-helps-a-large-business-process-outsourcer-supporting-the-medicaid-processing-for-several-us-states-better-measure-and-improve-performance/,rep read Sep 4 2026; case study undated,"bundled, no evidence of use","Verint (WFM, back office) per Nathan Belfield, 2026-09-04; PredictLeads adds NICE CXone seen 2026-07",
New York Life Insurance Company,newyorklife.com,Div Financial Services,yes,15050,verint,Verint Workforce Management (2022-03-01),,Verint,Avaya,0,,A,"Two current profiles name the module: the CVP, Head of Workforce Management (since May 2022) is 'leading the journey to expand insight through Desktop Process Analytics to increase capacity by 10%'; a Voice Technology System Administrator deploys 'Verint desktop process & analytics (DPA) triggers'. Verint case study separately names Quality Bot and Speech Analytics",https://www.linkedin.com/in/randy-kahlich-jr-1b0b5412/ ; https://www.linkedin.com/in/michael-snow-081929b8/,profiles read Sep 9 2026,,,
Qualfon,qualfon.com,Outsourcer,yes,14000,verint,Verint (2023-03-08),,Verint,Avaya,0,,B,Verint case study: Workforce Management and MyVerint app; 17 percent less real-time analyst busy work,https://www.verint.com/case-studies/qualfon-enhances-employee-and-customer-experience-with-verint-workforce-management/,Sep 2022 (BusinessWire),,,
OMNICARE HEALTH NETWORK,omnicare.com,Retail,yes,13000,verint,Verint Workforce Management (2022-12-22),,Verint,,0,,D,,,,,,
HD Supply,hdsupply.com,Retail,yes,12000,verint,Verint Workforce Management (2019-08-03),,Verint,Talkdesk,1,"Jessica Agahi (SVP, Chief Customer Officer)",D,,,,,,
Aspen Dental,aspendental.com,Healthcare Provider,yes,10000,both,Verint Workforce Management (2026-08-13),NICE CXone (2025-04-15),Verint,NICE,0,,D,,,,"bundled, no evidence of use",,
AmeriHealth Caritas,amerihealthcaritas.com,Home & Auto Insurance,yes,9000,verint,Verint (2024-01-30); Verint Workforce Management (2020-08-30),,Verint,Avaya,2,"Chuck Beeman (EVP, Chief Operating Officer (COO)); Jerome Schorr, MHSA, CPHQ (Chief Operations Officer)",C,"No account-level signal. A Business Analyst hired Aug 2024 carries Verint DPA experience from a prior Blue Shield of California role: a warm contact, not proof the module runs here",https://www.linkedin.com/in/angela-marino-13752411/,profile read Sep 9 2026,,,
Blue Shield of California (BSCA),blueshieldca.com,Home & Auto Insurance,yes,7800,verint,Verint Workforce Management (2026-01-16),,Verint,Avaya,1,Susan Mullaney (Chief Operating Officer),A,WFM Lead (since May 2018) lists Verint Workforce Engagement with Speech Analytics and Desktop Analytics; a former Verint Administrator for the Blue Shield call center names DPA among the products supported. Verint case study separately names Digital Experience,https://www.linkedin.com/in/louiscullo/ ; https://www.linkedin.com/in/angela-marino-13752411/,profiles read Sep 9 2026,,,
MSC Industrial Direct,mscdirect.com,Retail,yes,6765,verint,Verint (2024-04-14); Verint Workforce Management (2023-12-14),,Calabrio,Avaya,0,,B,"Verint press release names MSC Industrial Supply a Verint customer (ICMI 2022 finalist, Best Large Contact Center)",https://www.verint.com/press-room/2022-press-releases/verint-customers-msc-industrial-supply-co-and-navy-federal-credit-union-recognized-among-2022-icmi-global-contact-center-award-finalists/,Sep 14 2022,,,
First National Bank of Omaha,fnbo.com,Banking,yes,5000,both,Verint Workforce Management (2022-11-01),NICE CXone (2026-08-03),Aspect,NICE,0,,B,NICE case study (May 2026): FNBO on NICE WFM Suite and Employee Engagement Manager (Flex program). Overrides the older Verint WFM stack read,https://www.nice.com/resources/case-study-fnbo,May 2026,"vendor confirmed, desktop module not named",,
Frost Bank,frostbank.com,Banking,yes,4985,verint,Verint Workforce Management (2022-02-23),,Verint,Genesys,1,"Christopher (Chris) Walsh (President, COO, Frost Brokerage and Investment Services)",D,,,,,,
loanDepot.com LLC,loandepot.com,Div Financial Services,yes,4532,verint,Verint Workforce Management (2025-10-21),,Verint,Genesys,0,,D,,,,,,
Healthfirst,healthfirst.org,Health Insurance,yes,4385,verint,Verint Workforce Management (2023-12-16),,Verint,Avaya,0,,D,,,,,,
Blue Cross Blue Shield Massachusetts (BCBS MA),bluecrossma.org,Home & Auto Insurance,yes,4000,verint,Verint Workforce Management (2026-08-06),,Verint,,1,Richard Lynch (Executive Vice President and Chief Operating Officer),D,,,,,,
Tampa Electric Company,tampaelectric.com,Utilities,yes,3236,verint,Verint Workforce Management (2024-09-23),,Verint,Amazon Connect,0,,D,,,,,,
IEHP,iehp.org,Health Insurance,yes,3000,verint,Verint (2023-04-28),,Verint,,1,Susie White (Chief Operating Officer),B,IEHP governing board packet: Verint workforce management contracted since April 2013 for the call centers,"https://www.iehp.org/content/dam/iehp-org/en/documents/governing-board-meetings/governing-board-reports/august-2024/August%2012,%202024%20IEHP%20Governing%20Board%20Meeting%20-%20Meeting%20Packet%20-%208-12-2024.pdf",Aug 12 2024,,,
Blue Cross Blue Shield of Louisiana,bcbsla.com,Home & Auto Insurance,yes,3000,verint,Verint Workforce Management (2023-06-15),,Verint,Avaya,0,,A,"Verint case study names Desktop and Process Analytics at BCBS Louisiana alongside Call Recording, Speech Analytics, Quality Management, Coaching, WFM and Strategic Planner; 2.1M calls a year",https://www.verint.com/case-studies/blue-cross-blue-shield-louisiana-enhances-the-customer-experience-through-new-insights/,undated on page (Verint case study),,,
Progrexion,progrexion.com,Div Financial Services,yes,3000,verint,Verint (2020-08-19),,Verint,Avaya,0,,D,,,,,,
RSA Insurance Group (Canada),rsagroup.ca,Home & Auto Insurance,yes,2900,verint,Verint Workforce Management (2020-09-05),,Verint,,0,,B,"Verint case studies name RSA (UK parent, Commercial Risk Solutions) on Verint Work Manager, back-office capacity up 20 percent. RSA Canada has been an Intact subsidiary since 2021",https://www.verint.com/case-studies/rsa-case-study/,2018-19 figures,,,RSA Canada is Intact Financial since 2021; the Verint back-office story is the UK parent; RSA Canada is Intact Financial since 2021; confirm the operating entity
Blue Cross Blue Shield Arizona (BCBS AZ),azblue.com,Home & Auto Insurance,yes,2500,both,Verint (2023-06-07),NICE inContact (2023-03-15),Verint,Avaya,2,Joe Greenberg (Chief Operating Officer); Kathleen Bonzani (Chief Accounting Officer (CAO)),D,,,,"bundled, no evidence of use",,
GoHealth,gohealth.com,Health Insurance,yes,2467,verint,Verint Workforce Management (2023-04-17),,Calabrio,Five9,1,"Michael Hargis, MBA (Chief Operating Officer)",D,,,,,,
Point32Health,point32health.org,Health Insurance,yes,1100,verint,Verint Workforce Management (2026-05-27),,Verint,Avaya,1,"Katie Catlender (EVP, Chief Operating Officer)",D,,,,,,
Answer Financial,answerfinancial.com,Insurance,yes,1000,verint,Verint Workforce Management (2022-06-14),,Verint,Avaya,0,,D,,,,,,
AIG Life Insurance of Canada,aig.ca,Home & Auto Insurance,yes,228,verint,Verint (2023-01-18),,Verint,Genesys,0,,D,,,,,,
Carnival Cruise Line,carnival.com,Hospitality,outside six verticals,87000,verint,Verint (2023-06-13),,Aspect,Avaya,2,Kristen Campos (Chief Communications Officer (CCO)); Sarah Beth Reno (Chief Operating Officer),D,,,,,,
MGM Resorts International,mgmresorts.com,Hospitality,outside six verticals,57000,verint,Verint Workforce Management (2023-11-06),,Verint,Avaya,0,,D,,,,,,
Instacart,instacart.com,Other,outside six verticals,21920,verint,Verint Workforce Management (2022-06-30),,Verint,Amazon Connect,0,,D,,,,,,
S&P Global Ratings,spglobal.com,Fin Services,outside six verticals,20000,verint,Verint Workforce Management (2024-04-25),,Verint,Avaya,0,,D,,,,,,
Amtrak,amtrak.com,Transportation,outside six verticals,19000,verint,Verint (2025-08-21),,Verint,Avaya,0,,D,,,,,,
Rentokil North America,rentokil.com,Business Services,outside six verticals,19000,verint,Verint Workforce Management (2023-01-14),,Verint,,0,,D,,,,,,
Holland America Line Inc,hollandamerica.com,Hospitality,outside six verticals,16000,both,Verint Workforce Management (2022-12-08),NICE CXone (2026-07-10),Verint,NICE,0,,D,,,,"bundled, no evidence of use",,
Change Healthcare LLC,changehealthcare.com,Software,outside six verticals,14000,both,Verint Workforce Management (2023-04-24),NICE CXone (2021-12-02),Verint,Amazon Connect,0,,D,,,,"bundled, no evidence of use",,
Terminix,terminix.com,Consumer Services,outside six verticals,11700,verint,Verint Workforce Management (2022-08-04),,Verint,Five9,0,,D,,,,,,
Canon USA,canon.com,Manufacturing,outside six verticals,11000,verint,Verint Workforce Management (2023-03-15),,Calabrio,,0,,D,,,,,,
Gainwell Technologies,gainwelltechnologies.com,,outside six verticals,10416,both,Verint Workforce Management (2026-06-28),NICE CXone (2026-08-30); NICE inContact (2025-09-14),Calabrio,Amazon Connect,0,,A,"VP Product Engineering, Head of Contact Center Technologies (since Mar 2025) owns 'Workforce Management, Quality Management, Operations Manager, Desktop Process analytics'. Medicaid administration BPO, same footprint as Maximus",https://www.linkedin.com/in/eshwar-muddasani-a4b40213/,profile read Sep 9 2026,"bundled, no evidence of use",,Outside the six verticals in Salesforce (IT services) but a Medicaid BPO; treat as Outsourcer
ResMed,resmed.com,Manufacturing,outside six verticals,10140,both,Verint Workforce Management (2026-04-29),NICE inContact (2026-09-03),Verint,NICE,0,,D,,,,"bundled, no evidence of use",,
Finastra,finastra.com,Software,outside six verticals,10000,verint,Verint Workforce Management (2022-08-03),,Verint,,0,,D,,,,,,
Corpay (formerly FLEETCOR),fleetcor.com,Software,outside six verticals,9900,both,Verint Workforce Management (2020-09-16),NICE CXone (2024-11-14); NICE inContact (2025-01-22),Verint,NICE,0,,B,"NICE case-study index: Corpay, AI analytics-driven resolution for travel support",https://www.nice.com/resources?types=case-studies,2025-26 index,"vendor confirmed, desktop module not named",,
Patterson Companies,pattersoncompanies.com,Business Services,outside six verticals,7600,verint,Verint Workforce Management (2019-04-01),,Verint,,0,,D,,,,,,
Airbnb,airbnb.com,Hospitality,outside six verticals,6811,verint,Verint Workforce Management (2024-04-23),,Verint,,0,,D,,,,,,
RAC,rac.co.uk,Consumer Services,outside six verticals,4000,verint,Verint (2017-07-31),,Verint,,0,,D,,,,,,
PODS Enterprises,pods.com,Transportation,outside six verticals,3000,verint,Verint Workforce Management (2022-06-22),,Verint,Five9,0,,D,,,,,,
Grubhub Inc.,grubhub.com,Transportation,outside six verticals,2400,verint,Verint Workforce Management (2022-07-23),,Verint,,0,,D,,,,,,
Acentra Health (formerly KEPRO),kepro.com,Software,outside six verticals,1500,verint,Verint Workforce Management (2021-07-23),,Verint,Avaya,0,,D,,,,,,
