domain,trigger_type,detail,date,source
lincolnfinancial.com,cost_mandate,you've told investors expense discipline is a strategic priority while G&A runs 5% higher on claims-platform and servicing investments,2026-07-30,"Each of these support a better experience for our customers and a more efficient platform over time. Expense discipline remains a strategic priority as we advance our transformation. (https://www.investing.com/news/transcripts/earnings-call-transcript-lincoln-financial-beats-q2-2026-profit-view-shares-rise-93CH-4824652, retrieved 2026-09-11)"
lincolnfinancial.com,leadership_change,your CFO left for Centene at the end of August and an interim CFO is running finance while you search for a permanent one,2026-08-10,"Adam Cohen, Senior Vice President, Chief Accounting Officer and Treasurer, has been appointed Interim Chief Financial Officer, effective immediately. (https://finance.yahoo.com/markets/stocks/articles/lincoln-financial-announces-chief-financial-110000779.html, retrieved 2026-09-11)"
medica.com,cc_expansion,"you take over UCare's Medicaid contracts on October 1, on top of the individual and MNsure members you absorbed in January, with nearly 300,000 people moving onto your plans",2026-08-05,"State contracts have been acquired by Medica, resulting in UCare's support for Medicaid contracts to end on Oct. 1, 2026. (https://www.fox9.com/news/ucare-plans-layoff-100-remote-workers-operations-wind-down-aug-5-2026, retrieved 2026-09-11)"
nationalgrid.com,csat_pressure,your New York utilities were just assessed roughly $24 million in negative revenue adjustments for missing 2025 customer satisfaction and call answer rate targets,2026-07-16,"Niagara Mohawk Power Corporation d/b/a National Grid did not meet its Residential Customer Satisfaction Survey, Small/Medium Commercial and Industrial Customer Satisfaction Survey, or Call Answer Rate targets, thus incurring NRAs of 36 basis points, or approximately $16.97 million. (https://dps.ny.gov/news/psc-hits-five-utilities-50-million-penalties-failing-meet-2025-customer-service-standards, retrieved 2026-09-11)"
nationalgrid.com,leadership_change,"your US business is run by an interim President while the search concludes, and your executive committee shrinks from 13 to 8 on September 1",2026-08-03,"Sally Librera has been appointed President, US, on an interim basis while an internal and external search concludes. (https://www.sec.gov/Archives/edgar/data/1004315/000165495426007117/a8707o.htm, retrieved 2026-09-11)"
nationalgrid.com,wfm_hiring,"you're hiring an Operations Manager for Kraken Customer Contact in Northboro who will own forecasting, workforce planning and scheduling as the Kraken operating model lands in your US customer operation",2026-09-11,"Own and optimize key operational processes, including billing, forecasting, workforce planning, and scheduling (https://jobs-ats.nationalgrid.com/job/Northboro-Operations-Manager%2C-Kraken-Customer-Contact-MA-01532/1425936300/, retrieved 2026-09-11)"
onemain.com,cost_mandate,"you've rolled an internal AI tool to 9,000-plus team members to drive efficiency and speed up customer service",2026-07-29,"We have built an internal AI tool that gives our more than 9 thousand team members information they need, like policies or procedures, at their fingertips in an intuitive conversational manner driving efficiency and speeding up customer service. (https://www.theglobeandmail.com/investing/markets/stocks/OMF-N/pressreleases/3730762/onemain-omf-q2-2026-earnings-call-transcript/, retrieved 2026-09-11)"
paychex.com,cost_mandate,your CFO has set service revenue per employee as a metric that must grow faster than revenue,2026-06-24,"We're trying to drive higher service revenue per employee, that's growing at a rate higher than our revenue growth rate. (https://www.investing.com/news/transcripts/earnings-call-transcript-paychex-beats-q4-2026-estimates-but-shares-fall-93CH-4758564, retrieved 2026-09-11)"
point32health.org,csat_pressure,you're consolidating the Harvard Pilgrim and Tufts Health Plan member portals and apps into one self-service experience under COO Katie Catlender,2026-06-03,"Unify Harvard Pilgrim and Tufts Health Plan member portals and mobile apps into a single, seamless digital experience. (https://www.point32health.org/newsroom/news-media/point32health/point32health-launches-unified-digital-experience-members-and-providers, retrieved 2026-09-11)"
point32health.org,cost_mandate,you've called 2026 a bridge year where profitability rests on cost discipline after a $141 million 2025 loss,2026-06-29,"the improvement reflects cost discipline, new care management programs, and the decision to stop covering GLP-1 drugs solely for weight loss (https://commonwealthbeacon.org/the-codcast/bad-incentives-and-industry-headwinds-vex-point32health-ceo/, retrieved 2026-09-11)"
point32health.org,cost_mandate,your CEO has put administrative costs under review and won't say whether layoffs are over after more than 450 cuts in three rounds,2026-07-23,"We're looking at our own administrative costs and making sure that we're as efficient as we can possibly be. (https://www.bostonglobe.com/2026/07/23/business/glp-1-obesity-harvard-pilgrim-layoffs/, retrieved 2026-09-11)"
regions.com,cost_mandate,you've guided 2026 adjusted expenses up only 1.5 to 3.5% while committing to full-year positive operating leverage,2026-07-17,"As we continue to invest in the franchise to support long-term growth, we remain focused on maintaining a disciplined approach to expense management (https://www.investing.com/news/transcripts/earnings-call-transcript-regions-financial-tops-q2-2026-estimates-as-shares-slip-93CH-4798734, retrieved 2026-09-11)"
regions.com,leadership_change,"John Jordan just took over Consumer Banking, which spans your retail branch network, Regions Mortgage and indirect lending",2026-08-11,"John Jordan will succeed Danella as head of Consumer Banking. (https://ir.regions.com/news-events/press-releases/news-details/2026/Regions-Financial-Announces-Upcoming-Retirement-of-Dave-Keenan-and-New-Executive-Leadership-Appointments/default.aspx, retrieved 2026-09-11)"
statefarm.com,csat_pressure,you're reworking California claims handling around fewer handoffs and clearer communication after the state's wildfire-claims findings,2026-05-22,"Fewer handoffs: helping customers connect with a clearer point of contact so they don't have to repeat their story. (https://newsroom.statefarm.com/los-angeles-here-to-help-it-rebuild-stronger/, retrieved 2026-09-11)"
statefarm.com,csat_pressure,"your EVP of agency, sales and marketing has put a Human + Digital service model on record where technology takes the tasks so people do the helping",2026-08-06,"let technology do more of the tasks so people can do more of the helping. (https://newsroom.statefarm.com/blog-human-digital-future-insurance/, retrieved 2026-09-11)"
td.com,leadership_change,"Paul Whitehead now oversees global client and colleague experience as your new SEVP, Global Corporate Services, effective September 4",2026-09-03,"Paul Whitehead is appointed Senior Executive Vice President, Global Corporate Services (https://td.mediaroom.com/2026-09-03-TD-Bank-Group-announces-senior-leadership-appointments-to-further-accelerate-strategy, retrieved 2026-09-11)"
truist.com,leadership_change,your incoming CEO Michael Lyons started September 1 with Bill Rogers moving to executive chair ahead of his April 2027 retirement,2026-06-15,"Truist Financial Corporation (NYSE: TFC) today announced Michael P. Lyons as its next president and chief executive officer, effective Sept. 1, 2026. (https://www.sec.gov/Archives/edgar/data/0000092230/000119312526270320/d118981dex991.htm, retrieved 2026-09-11)"
truist.com,cost_mandate,you've guided 2026 noninterest expense growth to about 1.75% against 3.5 to 4% revenue growth,2026-07-17,"full-year revenue growth of 3.5% to 4% and noninterest expense growth of 1.75% (https://finance.yahoo.com/markets/stocks/articles/truist-financial-q2-2026-earnings-140452834.html, retrieved 2026-09-11)"
truist.com,csat_pressure,you've rolled AI call summaries across your care centers to shave roughly 30 seconds off every call,2026-09-09,"Based on average time savings of approximately 30 seconds per call, AI Call Summaries saved teammates more than 36,000 hours in the second quarter of 2026 (https://media.truist.com/2026-09-09-Truist-advances-AI-to-create-more-meaningful-client-interactions, retrieved 2026-09-11)"
