domain,company,industry,employees,agent_count,acd,acd_source,acd_observed,wfm,wfm_source,wfm_observed,source,sf_owner_id,sixsense_stage,sixsense_intent,heat_lane,heat_score
bbvacompass.com,BBVA,Banking,11446,900,Unknown,,,Unknown,,,"employees 11,446 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 900 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gA6lIAE,Consideration,66,,
bcbs.com,Blue Cross & Blue Shield Association,Insurance,3390,300,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2024-05-29,Unknown,,,"employees 3,390 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 300 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Consideration,60,,
bcbsil.com,Blue Cross and Blue Shield of Illinois,Insurance,13000,1300,Unknown,,,Unknown,,,"employees 13,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 1,300 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gA77IAE,Decision,78,,
bcbsm.com,Blue Cross Blue Shield Michigan (BCBS MI),Health Insurance,12196,1800,Unknown,,,Unknown,,,"employees 12,196 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 1,800 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gAGUIA2,Decision,82,,
bedbathandbeyond.com,Bed Bath & Beyond,Other,37600,2300,Unknown,,,Unknown,,,"employees 37,600 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 2,300 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gBKBIA2,Consideration,65,,
bell.ca,Bell Canada,Other,44610,2700,Genesys,predictleads:https://www.genesys.com,2026-08-19,Unknown,,,"employees 44,610 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 2,700 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000004XWIAIA4,Consideration,56,,
bestbuy.com,Best Buy,Other,52200,3100,Unknown,,,Calabrio,predictleads:https://www.calabrio.com,2020-08-12,"employees 52,200 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 3,100 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gAGSIA2,Consideration,54,,
bjs.com,"BJ's Wholesale Club, Inc.",Other,34000,2000,Unknown,,,Unknown,,,"employees 34,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 2,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gBKBIA2,Decision,81,,
blackrock.com,BlackRock,Financial Services,19900,2000,Unknown,,,Unknown,,,"employees 19,900 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 2,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gAGUIA2,Decision,80,,
blueshieldca.com,Blue Shield of California,Health Insurance,6500,1000,Avaya,predictleads:https://www.avaya.com,2026-06-07,Verint,predictleads:https://www.verint.com,2026-01-16,"employees 6,500 as of 2026-04-22 per https://www.prnewswire.com/news-releases/healthcare-finance-veteran-cj-bhalla-named-chief-financial-officer-for-blue-shield-of-california-and-nonprofit-health-plans-parent-company-302749613.html (""with six million members, over 6,500 employees, and more than $27 billion in annual revenue"", facts_updated 2026-09-11). agent_count 1,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band SENSITIVE at +/-30% (5 vs 12 pts). Note: Headcount trending down (over 7,500 in Jul 2025 boilerplate, over 6,500 by Apr 2026, plus 2025 and 2026 layoff rounds). Verint customer per an undated Verint case study; no dated in-window Verint event, so no verint_backoffice trigger claimed.",005V5000006tDZ3IAM,Consideration,60,,
bmo.com,BMO,Financial Services,46722,4700,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-04-22,Unknown,,,"employees 46,722 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 4,700 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000004XWIAIA4,Consideration,62,,
bnymellon.com,The Bank of New York Mellon,Financial Services,53600,5400,Unknown,,,Unknown,,,"employees 53,600 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 5,400 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gAGSIA2,Purchase,91,,
bp.com,BP (British Petroleum),Other,67600,4100,Avaya,predictleads:https://www.avaya.com,2026-06-17,Unknown,,,"employees 67,600 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 4,100 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gBKBIA2,Decision,83,,
breadfinancial.com,"Bread Financial Holdings, Inc.",Financial Services,6000,600,Avaya,predictleads:https://www.avaya.com,2026-05-06,Aspect,predictleads:https://www.alvaria.com,2026-05-06,"employees 6,000 as of 2025-12-31 per https://stockanalysis.com/stocks/bfh/employees/ (""Bread Financial Holdings had 6,000 employees as of December 31, 2025."", facts_updated 2026-09-11). agent_count 600 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band robust at +/-30% (5 vs 5 pts). Note: Headcount from a filing-derived tracker (FY2025 10-K filed 2026-02-13 truncated before Human Capital in every fetch); servicing blends domestic and offshore locations with no site headcounts named; Val Greer stays through February 2027 for transition.",005V5000001gAGSIA2,Consideration,54,,
breezeline.com,Breezeline,Other,1400,100,Genesys,predictleads:https://www.genesys.com,2026-07-05,Unknown,,,"employees 1,400 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 100 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGRIA2,Decision,76,,
britishgas.co.uk,BRITISH GAS TRADING LTD,Other,23000,1400,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-03-07,Unknown,,,"employees 23,000 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 1,400 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gBKBIA2,Decision,80,,
cableone.net,Sparklight,Other,3132,200,Avaya,predictleads:https://www.avaya.com,2025-07-05,Unknown,,,"employees 3,132 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 200 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGRIA2,Decision,84,,
cambiahealth.com,Cambia Health Solutions,Health Insurance,4500,700,NICE,predictleads:https://www.nice.com,2025-08-11,Unknown,,,"employees 4,500 as of 2026 per https://www.cambiahealth.com/about (""we're 4,500+ employees working across five states to serve nearly 4 million people."", facts_updated 2026-09-11). agent_count 700 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band robust at +/-30% (5 vs 5 pts). Note: The 4,500+ figure predates Arkansas Blue Cross, which adds more than 3,200 employees on Oct 1 2026 per the same release; Regence Medicare Advantage contracts average about 3.07 Stars for 2026 per NerdWallet (secondary, not claimed).",005V5000001gAGUIA2,Consideration,53,,
canadiantire.ca,Canadian Tire,Other,13802,800,Unknown,,,Unknown,,,"employees 13,802 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 800 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000004XWIAIA4,Consideration,56,,
capitalone.com,Capital One,Financial Services,55600,5600,Unknown,,,Aspect,predictleads:https://www.alvaria.com,2026-06-30,"employees 55,600 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 5,600 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gAGQIA2,Purchase,88,,
carefirst.com,Carefirst,Insurance,7180,700,NICE,predictleads:https://www.nice.com,2025-08-19,Unknown,,,"employees 7,180 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 700 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band robust at +/-30% (5 vs 5 pts).",005V5000004XWIAIA4,Consideration,58,,
carmax.com,CarMax Auto Finance,Other,30000,1800,Genesys,predictleads:https://www.genesys.com,2025-09-04,Unknown,,,"employees 30,000 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 1,800 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gBKBIA2,Decision,75,,
cat.com,Caterpillar Financial Services Corporation,Financial Services,2100,200,Unknown,,,Unknown,,,"employees 2,100 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 200 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Purchase,94,,
centene.com,Centene Corporation,Health Insurance,59800,9000,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-08-26,Calabrio,predictleads:https://www.calabrio.com,2024-11-25,"employees 59,800 as of 2026-06-30 per https://www.centene.com/who-we-are.html (""59,800 EMPLOYEES"", facts_updated 2026-09-11). agent_count 9,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band SENSITIVE at +/-30% (22 vs 25 pts). Note: Marketplace membership fell from 5,862,800 to 3,494,700 year over year per the Jul 28 2026 release, so the SG&A improvement is partly volume shrink, not only efficiency.",005V5000001gAGQIA2,Purchase,88,,
centerpointenergy.com,CenterPoint Energy,Other,8986,500,Unknown,,,Unknown,,,"employees 8,986 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 500 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Consideration,67,,
christushealth.org,Christus Health,Healthcare Services,45000,2200,Avaya,predictleads:https://www.avaya.com,2026-08-23,Unknown,,,"employees 45,000 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 2,200 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gBKBIA2,Decision,75,,
chubb.com,Chubb (UK),Insurance,40000,4000,NICE,predictleads:https://www.nice.com,2026-08-26,Unknown,,,"employees 40,000 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 4,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000002ZZTFIA4,Decision,85,,
cigna.com,Cigna Corporation,Health Insurance,74000,11100,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-08-20,Calabrio,predictleads:https://www.calabrio.com,2025-11-09,"employees 74,000 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 11,100 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band SENSITIVE at +/-30% (22 vs 25 pts).",005V5000001gA77IAE,Purchase,90,,
citizensbank.com,Citizens Bank,Banking,18468,1500,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-07-10,Aspect,predictleads:https://www.alvaria.com,2024-11-25,"employees 18,468 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 1,500 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gAGSIA2,Decision,74,,
comerica.com,Comerica Bank,Banking,7280,600,Unknown,,,Unknown,,,"employees 7,280 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 600 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Consideration,66,,
commbank.com.au,Commonwealth Bank of Australia,Financial Services,49454,4900,Genesys,predictleads:https://www.genesys.com,2023-08-22,Unknown,,,"employees 49,454 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 4,900 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gBKBIA2,Decision,71,,
costco.com,Costco,Other,316000,19000,Unknown,,,Calabrio,predictleads:https://www.calabrio.com,2024-09-25,"employees 316,000 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 19,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (25 vs 25 pts).",005V5000004XWIAIA4,Decision,85,,
countrywide.com,Countrywide Financial - no longer in business,Financial Services,50386,5000,Unknown,,,Unknown,,,"employees 50,386 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 5,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gBKBIA2,Purchase,94,,
davita.com,DaVita Kidney Care,Healthcare Services,70000,3500,NICE,predictleads:https://www.nice.com,2026-08-15,Unknown,,,"employees 70,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 3,500 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gBKBIA2,Consideration,57,,
desjardins.com,Desjardins Group,Financial Services,58774,5900,Genesys,predictleads:https://www.genesys.com,2026-07-10,Unknown,,,"employees 58,774 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 5,900 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000004XWIAIA4,Consideration,57,,
dickssportinggoods.com,Dick's Sporting Goods,Other,18800,1100,Unknown,,,Unknown,,,"employees 18,800 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 1,100 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gAGRIA2,Consideration,69,,
discover.com,Discover Financial Services,Financial Services,20200,2000,Avaya,predictleads:https://www.avaya.com,2022-10-20,Unknown,,,"employees 20,200 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 2,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gAGTIA2,Consideration,60,,
dish.com,DISH Network,Other,14200,900,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-08-12,Calabrio,predictleads:https://www.calabrio.com,2023-12-15,"employees 14,200 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 900 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gAGTIA2,Decision,84,,
dollargeneral.com,Dollar General,Other,170000,10200,Unknown,,,Unknown,,,"employees 170,000 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 10,200 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (22 vs 25 pts).",005V5000001gAGUIA2,Decision,84,,
duke-energy.com,Duke Energy,Other,27859,1700,Avaya,predictleads:https://www.avaya.com,2025-09-16,Verint,predictleads:https://www.verint.com,2023-10-21,"employees 27,859 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 1,700 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gAGSIA2,Purchase,97,,
